connector_id,startnode,sluttnode,length_m,max_distance_m
a001,3204070,3596885,4.02,100.0
a002,2672667,2745263,5.77,100.0
a003,3921005,3921011,8.88,100.0
a004,2745084,3748282,9.03,100.0
a005,2736882,2736892,11.07,100.0
a006,3921007,3921008,12.42,100.0
a007,3311936,3581621,12.92,100.0
a008,2647291,3822554,25.55,100.0
a009,2644169,3551002,30.77,100.0
a010,1915946,2739872,34.36,100.0
a011,1220491,455581,36.13,100.0
a012,2736206,3966867,37.94,100.0
a013,2739872,2815447,40.27,100.0
a014,2736206,3142193,42.07,100.0
a015,1402817,2646762,44.33,100.0
a016,2736166,3966867,46.27,100.0
a017,1402817,2646757,49.40,100.0
a018,1405658,2814040,49.69,100.0
a019,2644157,3067874,56.59,100.0
a020,3596884,454377,61.73,100.0
a021,2644279,3921011,64.73,100.0
a022,1935608,3770650,67.60,100.0
a023,3225781,3311936,74.54,100.0
a024,3642193,451302,75.87,100.0
a025,1240792,2815729,76.54,100.0
a026,2736854,455202,83.51,100.0
a027,1411087,2813615,89.42,100.0
a028,3921009,3966870,90.92,100.0
a029,2646723,2646760,97.19,100.0
