object_key,road_id,veglenkesekvensid,veglenkenummer,segmentnummer,startnode,sluttnode,typeVeg,street_name,kortform,lenkeretning,length_m,feltoversikt,lane_mode,source_files
2052506-1-4:2052694>2672634,r001,2052506,1,4,2052694,2672634,Enkel bilveg,Drammensveien,PV11290 S89D1 m51-122,MOT,71.374,1#2,bidirectional,E18_1.json
2672720-1-2:2672634>2672664,r002,2672720,1,2,2672634,2672664,Enkel bilveg,,PV76119 S1D1 m0-19,MED,18.613,1#2,bidirectional,E18_1.json
2052506-2-4:2672634>3287868,r001,2052506,2,4,2672634,CN20,Enkel bilveg,Drammensveien,PV11290 S89D1 m17-51,MOT,34.157,1#2,bidirectional,E18_1.json
2052507-1-4:2052696>2672625,r003,2052507,1,4,CN21,2672625,Enkel bilveg,Drammensveien,PV11290 S90D1 m0-119,MED,118.864,1#2,bidirectional,E18_1.json
3287886-1-2:3287868>3748884,r004,3287886,1,2,CN20,3748884,Enkel bilveg,Drammensveien,PV11290 S91D1 m0-19,MED,19.249,1#2,bidirectional,E18_1.json
615334-2-4:2052695>2052696,r005,615334,2,4,CN20,CN21,Enkel bilveg,Drammensveien,PV11290 S86D1 m137-170,MED,33.492,1#2,bidirectional,E18_1.json
3029197-2-2:3848761>3029209,r006,3029197,2,2,3848761,CN21,Enkel bilveg,Drammensveien,PV11290 S90D1 m213-235,MED,22.015,1#2,bidirectional,E18_1.json
3287886-2-2:3748884>3287849,r004,3287886,2,2,3748884,3287849,Enkel bilveg,Drammensveien,PV11290 S91D1 m19-33,MED,13.947,1#2,bidirectional,E18_1.json
615334-4-4:2672626>2672627,r005,615334,4,4,CN90,CN20,Enkel bilveg,Drammensveien,PV11290 S86D1 m37-107,MED,70.38,1#2,bidirectional,E18_1.json
2672729-1-3:2672627>2672672,r007,2672729,1,3,CN20,2672672,Enkel bilveg,Drammensveien,PV11290 S88D1 m0-63,MED,63.293,1#2,bidirectional,E18_1.json
2672696-2-3:3748867>2672626,r008,2672696,2,3,3748867,CN90,Enkel bilveg,Drammensveien,PV11290 S87D1 m0-5,MOT,4.717,1#2,bidirectional,E18_1.json
2672696-1-3:2672646>3748867,r008,2672696,1,3,2672646,3748867,Enkel bilveg,Drammensveien,PV11290 S87D1 m5-49,MOT,43.795,1#2,bidirectional,E18_1.json
607183-2-4:3748883>628052,r009,607183,2,4,3748883,CN90,Enkel bilveg,Drammensveien,PV11290 S86D1 m8-17,MED,8.504,1#2,bidirectional,E18_1.json
604008-10-5:2823766>1425306,r010,604008,10,5,2823766,1425306,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m0-16,MOT,15.808,1#2,bidirectional,E18_1.json
604008-9-5:628036>2823766,r010,604008,9,5,628036,2823766,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m16-21,MOT,5.452,1#2,bidirectional,E18_1.json
607183-1-4:628048>3748883,r009,607183,1,4,628048,3748883,Enkel bilveg,Drammensveien,PV11290 S86D1 m0-8,MED,8.247,1#2,bidirectional,E18_1.json
604008-8-5:628048>628036,r010,604008,8,5,628048,628036,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m21-35,MOT,14.152,1#2,bidirectional,E18_1.json
2672719-1-3:2672646>3748881,r011,2672719,1,3,2672646,3748881,Enkel bilveg,Drammensveien,PV11290 S87D1 m49-54,MED,5.469,1#2,bidirectional,E18_1.json
2672719-2-3:3748881>2672663,r011,2672719,2,3,3748881,2672663,Enkel bilveg,Drammensveien,PV11290 S87D1 m54-73,MED,18.826,1#2,bidirectional,E18_1.json
604008-7-5:628058>628048,r010,604008,7,5,628058,628048,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m35-55,MOT,19.114,1#2,bidirectional,E18_1.json
604008-6-5:3061490>628058,r010,604008,6,5,3061490,628058,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m55-76,MOT,21.295,1#2,bidirectional,E18_1.json
626896-54-11:3065462>1425951,r012,626896,54,11,3065462,1425951,Kanalisert veg,Drammensveien,EV18 S55D1 m0-22,MOT,22.864,2#4#6,against_link,E18_1.json
604008-5-5:628110>3061490,r010,604008,5,5,CN185,3061490,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m76-123,MOT,46.743,1#2,bidirectional,E18_1.json
626896-53-11:628053>3065462,r012,626896,53,11,CN183,3065462,Kanalisert veg,Drammensveien,EV18 S55D1 m22-50,MOT,27.648,2#4#6,against_link,E18_1.json
615309-1-4:628129>3748853,r014,615309,1,4,CN185,3748853,Enkel bilveg,Drammensveien,PV11290 S103D1 m25-125,MED,99.165,2,against_link,E18_1.json
625751-46-11:3064706>1424554,r015,625751,46,11,3064706,1424554,Kanalisert veg,Drammensveien,EV18 S55D1 m0-22,MOT,21.251,1#3#5#7,with_link,E18_1.json
625349-3-11:628064>628188,r016,625349,3,11,CN183,628188,Rampe,Drammensveien,EV18 S55D1 m619 KD1 m11-165,MOT,154.0,1,with_link,E18_1.json
626896-52-11:3065454>628053,r012,626896,52,11,3065454,CN183,Kanalisert veg,Drammensveien,EV18 S55D1 m50-131,MOT,80.189,2#4#6,against_link,E18_1.json
625751-45-11:3064701>3064706,r015,625751,45,11,3064701,3064706,Kanalisert veg,Drammensveien,EV18 S55D1 m22-50,MOT,28.504,1#3#5#7,with_link,E18_1.json
604008-4-5:628194>628110,r010,604008,4,5,628194,CN185,Enkel bilveg,Frantzebråtveien,KV11921 S2D1 m123-227,MOT,104.851,2,against_link,E18_1.json
625751-44-11:628121>3064701,r015,625751,44,11,CN184,3064701,Kanalisert veg,Drammensveien,EV18 S55D1 m50-131,MOT,79.602,1#3#5#7,with_link,E18_1.json
625353-2-8:628099>1246082,r019,625353,2,8,CN184,1246082,Rampe,Drammensveien,EV18 S55D1 m101 KD3 m23-103,MOT,80.444,1,with_link,E18_1.json
604667-1-3:1246082>3061674,r020,604667,1,3,1246082,3061674,Enkel bilveg,Lilleakerveien,KV14290 S1D1 m0-24,MED,23.935,1,with_link,E18_1.json
626896-69-11:4087854>3065454,r012,626896,69,11,4087854,3065454,Kanalisert veg,Drammensveien,EV18 S55D1 m131-260,MOT,129.454,2#4#6,against_link,E18_1.json
625751-56-11:4087858>628121,r015,625751,56,11,4087858,CN184,Kanalisert veg,Drammensveien,EV18 S55D1 m131-215,MOT,85.005,1#3#5#7,with_link,E18_1.json
604667-2-3:3061674>3247339,r020,604667,2,3,3061674,RB33,Enkel bilveg,Lilleakerveien,KV14290 S1D1 m24-50,MED,25.658,1,with_link,E18_1.json
605395-1-3:3247338>3538961,r025,605395,1,3,RB33,3538961,Enkel bilveg,Sollerudveien,KV16815 S1D1 m0-9,MED,9.202,1#2,bidirectional,E18_1.json
605395-42-3:3538961>3748340,r025,605395,42,3,3538961,3748340,Enkel bilveg,Sollerudveien,KV16815 S1D1 m9-50,MED,40.862,1#2,bidirectional,E18_1.json
626376-1-3:628009>2745080,r026,626376,1,3,RB33,2745080,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m0-7,MED,12.046,1,with_link,E18_1.json
627172-1-3:627995>2745082,r027,627172,1,3,RB33,2745082,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m0-7,MED,5.863,2,against_link,E18_1.json
627172-2-3:2745082>627991,r027,627172,2,3,2745082,627991,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m7-23,MED,16.072,2#4S,against_link_special,E18_1.json
626376-2-3:2745080>627991,r026,626376,2,3,2745080,627991,Kanalisert veg,Lilleakerveien,KV14290 S2D1 m7-23,MED,16.944,1#3S,with_link_special,E18_1.json
2672374-1-3:2672167>2672521,r028,2672374,1,3,CN88,2672521,Enkel bilveg,Sollerudveien,PV16815 S19D1 m0-99,MED,98.868,1#2,bidirectional,E18_1.json
3770707-2-1:3822556>3770688,r029,3770707,2,1,3822556,3770688,Enkel bilveg,Lilleakerveien,PV98905 S1D1 m8-34,MED,25.138,1#2,bidirectional,E18_1.json
605395-46-3:3748340>2672167,r025,605395,46,3,3748340,CN88,Enkel bilveg,Sollerudveien,KV16815 S1D1 m50-59,MED,9.311,1#2,bidirectional,E18_1.json
604669-6-3:627991>627988,r030,604669,6,3,627991,627988,Enkel bilveg,Lilleakerveien,KV14290 S2D1 m23-32,MED,9.286,1#2#3S#4S,bidirectional_special,E18_1.json
2672331-1-3:2672168>2672480,r031,2672331,1,3,CN88,2672480,Enkel bilveg,Sollerudveien,PV16815 S38D1 m0-23,MED,23.073,1#2,bidirectional,E18_1.json
604669-7-3:627988>2672604,r030,604669,7,3,627988,CN89,Enkel bilveg,Lilleakerveien,KV14290 S2D1 m32-187,MED,154.443,1#2#3S#4S,bidirectional_special,E18_1.json
2672332-1-3:2672169>2672481,r032,2672332,1,3,CN88,2672481,Enkel bilveg,Sollerudveien,PV16815 S39D1 m0-29,MED,29.266,1#2,bidirectional,E18_1.json
3770707-1-1:3748353>3822556,r029,3770707,1,1,3748353,3822556,Enkel bilveg,Lilleakerveien,PV98905 S1D1 m0-8,MED,8.372,1#2,bidirectional,E18_1.json
615323-6-4:3748353>3034363,r033,615323,6,4,3748353,3034363,Enkel bilveg,Lilleakerveien,PV14290 S45D1 m162-191,MOT,29.672,1#2,bidirectional,E18_1.json
2672710-2-3:3748456>2672656,r034,2672710,2,3,3748456,CN92,Enkel bilveg,Lilleakerveien,PV14290 S47D1 m56-123,MED,67.652,1#2,bidirectional,E18_1.json
