node_label,node_type,node_id,x,y,incident_road_ids,incident_sequences
J01,junction,451302,248236.8,6647256.8,a024 r936,405737 ART024
J02,junction,3642193,248269.2,6647325.4,a024 r956,405941 ART024
J03,junction,451413,248322.79999999996,6646947.0,r893 r894,405243 405462
J04,junction,451417,248324.54,6647005.5,r894 r902,2538721 405462
RB01,roundabout,RB01,248330.39474999998,6647464.878499999,r1000 r1003 r974 r975 r987 r994 r995 r996,2538627 2538630 445046 445047 445160 446634 446635 446748
J05,junction,451438,248335.20000000004,6647108.400000001,r894 r895,405462 443790
J06,junction,451450,248339.242,6647427.9290000005,r895 r974 r975,443790 445047 446635
J07,junction,451463,248346.4,6647375.0,r895 r956,405941 443790
J08,junction,451469,248349.6,6647207.400000001,r895 r920 r921,443790 445048 446636
J09,junction,451476,248353.70000000004,6647513.2,r1000 r1003 r1007,443789 445046 446634
J10,junction,2538480,248355.99,6647462.5,r972 r995 r996,2538627 2538630 2538749
J11,junction,2541056,248369.29999999996,6647051.900000001,r895 r904,2541126 443790
J12,junction,451508,248380.9,6647689.9,r1007 r1053 r1055,1221148 418200 443789
J13,junction,451507,248380.9,6647268.0,r895 r920 r921,443790 445048 446636
J14,junction,451530,248401.20000000004,6647779.400000001,r1007 r1074,417542 443789
J15,junction,CN42,248421.22,6647686.114999999,r1052 r1053 r1054,1221148 2538631 2538633
J16,junction,1406400,248439.91,6648067.8,r1130 r1139,2538622 417540
J17,junction,451563,248442.20000000004,6647827.599999999,r1007 r1071,417541 443789
J18,junction,2538522,248497.15,6647334.8,r944 r960,2538640 2642425
J19,junction,451648,248513.74,6647073.123,r890 r906,405616 417831
J20,junction,451650,248515.4,6647140.400000001,r890 r910,405616 417837
J21,junction,CN02,248520.27599999998,6647698.858,r1045 r1053 r1063,1221147 1221148 1221150
J22,junction,2642376,248521.792,6647277.719,r927 r944,2538620 2642425
J23,junction,2538539,248523.41,6647915.59,r1007 r1110,2538660 443789
J24,junction,2538476,248541.31999999998,6647225.099999999,r890 r927,2538620 405616
J25,junction,2538501,248547.33,6647398.39,r927 r960,2538620 2538640
J26,junction,2538544,248561.55999999997,6647947.61,r1007 r1125,2538666 443789
J27,junction,CN03,248569.75599999996,6647653.5540000005,r1020 r1028 r1045,1221150 2538636 405240
J28,junction,2538485,248603.44000000003,6647624.580000001,r1020 r1040,2538639 405240
J29,junction,CN43,248606.2542857143,6647952.7,r1007 r1092 r1112 r1114,2538661 2538673 405880 443789
J30,junction,451750,248626.9,6647454.0,r890 r990,405110 405616
J31,junction,451760,248635.48899999997,6647557.897999999,r1020 r933,405240 405623
J32,junction,451763,248639.20000000004,6647494.0,r1005 r890,2538669 405616
J33,junction,451777,248654.525,6647555.771000001,r890 r933,405616 405623
J34,junction,CN122,248676.63999999998,6647984.38,r1007 r1130 r1133,3225787 417540 443789
J35,junction,1221170,248687.994,6647837.267,r1084 r1092,1221167 405880
J36,junction,451807,248704.9,6647082.8,r897 r903,405621 405622
J37,junction,CN129,248720.15499999997,6646950.189666667,r890 r896 r897 r898,3587526 405616 405617 405621
J38,junction,2813640,248726.627,6647841.111,r1079 r1093,2813562 3548569
J39,junction,451820,248736.70000000004,6647143.3,r897 r905,405321 405621
J40,junction,451825,248741.1,6647601.400000001,r1025 r933,405245 405623
J41,junction,3225781,248742.35,6648022.79,a023 r1140,3225786 ART023
J42,junction,1238685,248750.671,6647281.684,r918 r945,405619 405620
J43,junction,CN121,248752.60100000002,6648020.5200000005,r1090 r1133 r1140,3225786 3225787 405574
J44,junction,1409921,248767.62,6647788.7,r1073 r1076,1934808 417790
J45,junction,3581575,248772.47,6648403.15,r1142 r1187,405875 418140
J46,junction,3311936,248772.75,6648090.849999999,a007 a023 r1150,442466 ART007 ART023
J47,junction,2538419,248773.51,6647640.91,r1043 r933,2538709 405623
J48,junction,3581621,248774.68,6648103.63,a007 r1154,2541117 ART007
J49,junction,2813573,248777.1,6647886.66,r1090 r1093,2813562 405574
J50,junction,451873,248797.79999999996,6647492.5,r1001 r990,405110 405111
J51,junction,2538418,248801.63,6647668.38,r1050 r933,2538706 405623
J52,junction,CN142,248809.0,6648352.7,r1142 r1181 r1182,405875 418138 418139
J53,junction,451894,248815.08,6647827.94,r1076 r1090,405574 417790
J54,junction,2538475,248818.15,6647135.87,r905 r908,2538625 405321
J55,junction,451905,248826.1,6647317.900000001,r945 r952,405619 417834
J56,junction,CN41,248832.545,6647491.1049999995,r1001 r1004 r990,2538628 405110 405111
J57,junction,3311933,248833.42,6648103.25,r1150 r1153,3366886 442466
J58,junction,3342502,248836.33,6648020.41,r1133 r1134 r1137,3225787 3342518 3342519
J59,junction,CN08,248855.18874999997,6647443.419999999,r971 r982,2538626 417836
J60,junction,451950,248861.29999999996,6646969.8,r889 r896,405617 405890
RB02,roundabout,RB02,248876.53999999995,6648001.891111112,r1128 r1129 r1134 r1135 r1137 r1138,3342518 3342519 3342532 3342533 3342544 3342546
J61,junction,3587289,248878.31999999998,6647340.66,r945 r954,3587540 405619
J62,junction,CN123,248879.265,6648147.585000001,r1153 r1158 r1160,3366886 3366887 3366888
J63,junction,1239232,248891.4,6647220.0,r897 r925,405621 417839
J64,junction,3342505,248899.363,6648023.319000001,r1135 r1138 r1141,3342532 3342533 3342537
J65,junction,3342493,248899.78,6647976.16,r1091 r1128 r1129,3225793 3342544 3342546
J66,junction,451988,248905.9,6648323.7,r1177 r1181,418137 418139
J67,junction,451996,248908.79999999996,6647440.900000001,r945 r982,405619 417836
J68,junction,452007,248920.1,6648255.900000001,r1142 r1167,405875 405876
J69,junction,3342394,248938.356,6648063.28,r1141 r1144 r1145,3342534 3342535 3342537
