roundabout_id,x,y,source_node_count,roundabout_segments,source_nodes
RB01,248330.39474999998,6647464.878499999,12,12,2538509 2538512 2538606 451400 451404 451415 451423 451424 451432 451433 451444 451449
RB02,248876.53999999992,6648001.891111111,9,9,3225777 3342484 3342485 3342486 3342492 3342494 3342495 3342503 3342504
RB03,248968.80491666668,6648092.513416667,12,12,3342387 3342388 3342389 3342391 3342392 3342393 3342395 3342396 3342428 3342478 3342479 3342480
RB04,249163.59777777782,6647804.495555556,9,9,3342437 3342439 3342449 3342450 3342451 3342458 3342459 3342461 3342469
RB05,249231.46938461537,6647622.655384615,13,13,2538403 2538404 2538405 2538406 2538408 2538409 2538410 2538411 2538412 2538413 2538416 452342 452350
RB06,249281.78350000005,6647687.898083334,12,12,3249908 3249909 452372 452375 452377 452382 452385 452389 452395 452403 452409 452410
RB07,249303.0919166666,6647262.594333332,12,12,1817920 1817922 1817925 1817927 1817929 1817930 1817931 1817932 1817933 1817934 1817935 1817936
RB08,249459.3186666667,6647556.81188889,9,9,452538 452539 452546 452548 452550 452553 452558 452560 452566
RB09,249461.26544444443,6647903.741777779,9,9,452544 452545 452547 452552 452555 452556 452561 452562 452565
RB10,249493.64444444448,6647455.31111111,9,9,3074987 3248414 3248421 452580 452581 452582 452587 452595 452607
RB11,249511.3028333333,6648435.814666667,12,12,3250701 3250702 452599 452603 452612 452626 452627 452634 452636 452639 452641 452642
RB12,249582.85655555563,6648257.227444444,9,9,2221477 2221478 2221479 2221480 2221481 2221482 2221483 2221484 2221485
RB13,249596.62814285714,6647326.268999999,7,7,452695 452697 452698 452704 452705 452709 452711
RB14,249653.1451666667,6647385.394916668,12,12,452731 452733 452735 452736 452737 452738 452742 452745 452747 452749 452751 452754
RB15,249778.70899999994,6648117.603166666,12,12,2221474 2221475 2221476 452817 452819 452824 452827 452830 452831 452834 452835 452837
RB16,249821.45963636364,6648030.801818181,11,11,2815774 3250699 3250700 452858 452860 452864 452865 452867 452868 452873 452877
RB17,249970.93333333338,6647712.000000001,9,9,452967 452968 452970 452971 452973 452974 452976 452977 452978
RB18,250921.975,6648051.312500001,8,8,453195 453196 453197 453198 453200 453202 453204 453205
RB19,251048.33333333328,6648073.244444445,9,9,453229 453230 453232 453234 453235 453237 453239 453240 453241
RB20,251113.1125,6647995.775000001,8,8,453256 453257 453258 453259 453261 453262 453263 453265
RB21,251415.99533333335,6647872.755,12,12,1713039 1713040 1713041 1713044 1713045 1713046 1713047 1713048 1713049 1713051 1713052 1713053
RB22,252586.65883333332,6648814.238333333,12,12,3250884 3250885 454080 454084 454088 454091 454095 454099 454103 454105 454110 454111
RB23,252920.9369,6648569.0936,10,10,3249515 3249516 3249517 3249518 3249519 454406 454410 454413 454418 454422
RB24,253065.18714285715,6648596.572857142,7,7,2479042 2479043 2479044 2479045 2479046 2479047 2479049
RB25,253802.4236666667,6648891.598416665,12,12,455130 455131 455133 455138 455140 455141 455145 455149 455152 455154 455156 455159
RB26,254296.5356666667,6649401.528333333,3,3,455790 455798 455807
RB27,254416.16125,6649424.522874999,8,8,1814564 1814568 1814569 1814570 1814573 1814574 1814575 1814576
RB28,255960.74761538455,6649703.391384615,13,13,2648058 2648059 458107 458108 458109 458117 458124 458127 458131 458139 458146 458152 458156
RB29,255972.67812499995,6649815.334749999,8,8,458137 458142 458144 458149 458150 458160 458162 458165
RB30,256005.93642857144,6649630.043714286,7,7,458177 458184 458186 458193 458198 458203 458212
RB31,256240.12983333343,6649489.014750001,12,12,458391 458393 458394 458400 458409 458411 458417 458418 458421 458423 458424 458425
RB32,256314.55,6649739.6,10,10,458487 458489 458490 458499 458501 458502 458504 458507 458508 458509
RB33,256338.53724999994,6649856.074375001,8,8,3247338 3247339 627992 627993 627995 628001 628003 628009
