contraction_id,road_id,object_key,startnode,sluttnode,merged_node,typeVeg,length_m
SC01,r001,2052506-3-4:3287868>2052695,3287868,2052695,CN20,Enkel bilveg,16.56
SC02,r005,615334-5-4:2672627>2052695,2672627,2052695,CN20,Enkel bilveg,29.75
SC03,r005,615334-3-4:2052696>3029209,2052696,3029209,CN21,Enkel bilveg,8.58
SC04,r005,615334-1-4:628052>2672626,628052,2672626,CN90,Enkel bilveg,19.92
SC05,r013,610407-1-4:628116>628129,628116,628129,CN185,Enkel bilveg,15.83
SC06,r017,625806-1-8:628053>628064,628053,628064,CN183,Rampe,10.74
SC07,r018,608591-1-4:628110>628116,628110,628116,CN185,Enkel bilveg,9.50
SC08,r021,625809-1-8:628121>628099,628121,628099,CN184,Rampe,18.89
SC09,r023,626375-1-3:627992>1424885,RB33,1424885,RB33,Kanalisert veg,29.32
SC10,r025,605395-30-3:2672167>2672168,2672167,2672168,CN88,Enkel bilveg,4.64
SC11,r025,605395-31-3:2672168>2672169,2672168,2672169,CN88,Enkel bilveg,12.81
SC12,r025,605395-32-3:2672169>2672170,2672169,2672170,CN88,Enkel bilveg,27.59
SC13,r025,605395-33-3:2672170>628091,2672170,628091,CN88,Enkel bilveg,26.27
SC14,r025,605395-2-3:628091>2672171,628091,2672171,CN88,Enkel bilveg,18.04
SC15,r038,606330-1-3:628091>2745077,628091,2745077,CN88,Enkel bilveg,8.47
SC16,r041,2672708-1-3:2672656>2672655,2672656,2672655,CN92,Enkel bilveg,20.03
SC17,r038,606330-10-3:2745076>3770674,2745076,3770674,CN107,Enkel bilveg,25.12
SC18,r025,605395-34-3:2672171>2672172,2672171,2672172,CN88,Enkel bilveg,13.02
SC19,r025,605395-35-3:2672172>2672173,2672172,2672173,CN88,Enkel bilveg,25.24
SC20,r048,2672714-1-3:2672658>2672654,2672658,2672654,CN91,Enkel bilveg,14.42
SC21,r025,605395-36-3:2672173>628114,2672173,628114,CN88,Enkel bilveg,10.22
SC22,r025,605395-3-3:628114>628123,628114,628123,CN88,Enkel bilveg,17.15
SC23,r030,604669-9-3:2672604>627945,2672604,627945,CN89,Enkel bilveg,12.47
SC24,r086,444481-1-8:457590>457575,457590,457575,CN179,Rampe,6.95
SC25,r071,405788-2-3:458427>2647269,458427,2647269,CN71,Enkel bilveg,7.38
SC26,r095,444479-1-10:457716>457729,457716,457729,CN180,Rampe,8.07
SC27,r111,445990-1-3:457831>457829,457831,457829,CN181,Kanalisert veg,7.09
SC28,r112,447518-1-3:457831>457820,457831,457820,CN181,Kanalisert veg,7.70
SC29,r108,405148-7-3:3598624>3598622,3598624,3598622,CN131,Enkel bilveg,25.62
SC30,r106,446655-2-14:457820>457829,457820,457829,CN181,Kanalisert veg,6.32
SC31,r115,2659404-8-9:2791529>2659392,2791529,2659392,CN85,Enkel bilveg,14.48
SC32,r120,2791534-1-9:2791529>457563,2791529,457563,CN85,Rampe,9.45
SC33,r085,444470-125-13:1857398>1857396,1857398,1857396,CN17,Kanalisert veg,18.70
SC34,r123,1857390-1-10:1857394>1857396,1857394,1857396,CN17,Rampe,9.84
SC35,r126,1857392-1-9:1857398>1857394,1857398,1857394,CN17,Rampe,10.93
SC36,r133,417546-1-3:457521>2654742,457521,2654742,CN84,Enkel bilveg,18.03
SC37,r135,444474-1-8:458079>458091,458079,458091,CN182,Rampe,5.94
SC38,r145,418354-4-4:3247340>3247341,3247340,3247341,CN75,Enkel bilveg,3.97
SC39,r145,418354-7-4:2648056>3247340,2648056,3247340,CN75,Enkel bilveg,8.73
SC40,r145,418354-6-4:2648053>2648057,2648053,2648057,CN74,Enkel bilveg,13.79
SC41,r141,405328-17-3:2648085>3204396,2648085,3204396,CN81,Enkel bilveg,15.69
SC42,r141,405328-16-3:2648084>2648085,2648084,2648085,CN81,Enkel bilveg,23.12
SC43,r163,443312-1-13:458251>1857393,458251,1857393,CN16,Rampe,11.28
SC44,r141,405328-24-3:3204395>2648084,3204395,2648084,CN81,Enkel bilveg,10.83
SC45,r141,405328-15-3:2648083>3204395,2648083,3204395,CN81,Enkel bilveg,25.62
SC46,r128,405393-4-3:2648064>457553,2648064,457553,CN77,Enkel bilveg,20.54
SC47,r170,2189653-1-9:2189659>2189657,2189659,2189657,CN23,Rampe,20.76
SC48,r175,2189661-1-9:458484>2189663,458484,2189663,CN24,Rampe,24.56
SC49,r128,405393-1-3:457547>2648064,457547,2648064,CN77,Enkel bilveg,27.75
SC50,r168,2189660-5-9:2189664>2189656,2189664,2189656,CN22,Rampe,13.09
SC51,r150,405394-3-4:457957>2648062,457957,2648062,CN76,Enkel bilveg,5.74
SC52,r189,2647995-1-4:2648091>3822527,2648091,3822527,CN83,Enkel bilveg,20.23
SC53,r141,405328-5-3:457527>2648082,457527,2648082,CN80,Enkel bilveg,26.52
SC54,r141,405328-4-3:457530>457527,457530,457527,CN80,Enkel bilveg,7.66
SC55,r141,405328-3-3:457640>2648081,457640,2648081,CN79,Enkel bilveg,28.28
SC56,r141,405328-19-3:2735696>457834,2735696,457834,CN93,Enkel bilveg,7.12
SC57,r210,2648088-1-2:2648089>2814010,2648089,2814010,CN82,Enkel bilveg,21.78
SC58,r236,3921025-1-1:3920984>3920995,3920984,3920995,CN134,Kanalisert veg,11.69
SC59,r240,3921012-1-1:3920992>3920994,3920992,3920994,CN135,Kanalisert veg,12.18
SC60,r242,417281-3-3:3175369>3822538,3175369,3822538,CN120,Enkel bilveg,12.32
SC61,r242,417281-1-3:458023>3175369,458023,3175369,CN120,Enkel bilveg,23.46
SC62,r243,3175364-1-3:3175369>3175370,3175369,3175370,CN120,Enkel bilveg,6.37
SC63,r226,442460-1-6:457494>2647257,457494,2647257,CN70,Enkel bilveg,14.62
SC64,r078,405168-4-3:457942>2647276,457942,2647276,CN73,Enkel bilveg,18.33
SC65,r247,405945-4-3:2647258>457494,2647258,457494,CN70,Enkel bilveg,23.97
SC66,r247,405945-5-3:2647259>2647258,2647259,2647258,CN70,Enkel bilveg,9.34
SC67,r256,444484-1-9:457572>457587,457572,457587,CN178,Rampe,9.15
SC68,r262,4038075-1-5:3078048>4035761,3078048,4035761,CN116,Kanalisert veg,10.25
SC69,r264,3401842-1-5:3078048>3401837,3078048,3401837,CN116,Rampe,28.11
SC70,r265,444477-1-12:457557>457559,457557,457559,CN177,Rampe,8.87
SC71,r266,444670-1-10:457554>457559,457554,457559,CN177,Kanalisert veg,7.16
SC72,r267,447634-1-10:457566>1241146,457566,1241146,CN09,Kanalisert veg,8.25
SC73,r269,444480-1-10:457585>457566,457585,457566,CN09,Rampe,10.63
SC74,r270,444482-1-9:457585>457605,457585,457605,CN09,Rampe,9.73
SC75,r271,444671-1-10:457585>457579,457585,457579,CN09,Kanalisert veg,9.61
SC76,r272,447633-1-10:457596>1241145,457596,1241145,CN10,Kanalisert veg,4.05
SC77,r273,3447444-6-5:457078>4035763,457078,4035763,CN140,Kanalisert veg,12.09
SC78,r274,447632-1-10:457605>1241144,457605,1241144,CN09,Kanalisert veg,3.96
SC79,r275,444487-1-9:457090>457078,457090,457078,CN140,Rampe,12.02
SC80,r284,444483-1-8:457297>457314,457297,457314,CN176,Rampe,10.32
SC81,r078,405168-9-3:2647275>2647274,2647275,2647274,CN72,Enkel bilveg,18.16
SC82,r084,443804-13-15:456764>456791,456764,456791,CN175,Enkel bilveg,20.88
SC83,r235,443807-27-7:456972>2670210,456972,2670210,CN86,Enkel bilveg,6.62
SC84,r084,443804-15-15:456972>2670209,456972,2670209,CN86,Enkel bilveg,8.81
SC85,r084,443804-11-15:456496>456524,456496,456524,CN174,Enkel bilveg,29.71
