iteration,node_id,node_label,forward_incoming_road_id,forward_outgoing_road_id,forward_merged_road_id,reverse_incoming_road_id,reverse_outgoing_road_id,reverse_merged_road_id,road_type,lanes,speed_limit
1,1220919,J160,2433,2447,2433,2448,2434,2448,Enkel bilveg,1,40
2,1220920,J183,1979,1948,1979,1947,1960,1947,Enkel bilveg,1,40
3,1238649,J162,2298,1881,2298,1887,2314,1887,Enkel bilveg,1,40
4,1238651,J154,2305,2298,2305,1887,2299,1887,Enkel bilveg,1,40
5,1238667,J359,1414,1412,1414,1222,1413,1222,Enkel bilveg,1,40
6,1238887,J453,1095,1080,1095,1081,1096,1081,Enkel bilveg,1,40
7,1239317,J239,1702,1713,1702,1719,1701,1719,Enkel bilveg,1,40
8,1239590,J729,352,349,352,350,351,350,Enkel bilveg,1,40
9,1239689,J73,2594,2578,2594,2577,2593,2577,Enkel bilveg,1,40
10,1407841,J662,188,201,188,215,199,215,Enkel bilveg,1,40
11,1424810,J649,461,439,461,432,460,432,Enkel bilveg,1,40
12,1713042,J261,1676,1673,1676,1674,1677,1674,Enkel bilveg,2,60
13,1915933,J627,482,465,482,459,481,459,Enkel bilveg,1,40
14,1917131,J601,595,600,595,599,594,599,Enkel bilveg,1,40
15,1917145,J749,195,173,195,174,196,174,Enkel bilveg,1,40
16,1934867,J191,2246,2217,2246,2196,2229,2196,Enkel bilveg,1,40
17,2537549,J609,707,722,707,751,706,751,Enkel bilveg,1,40
18,2537572,J579,746,711,746,712,741,712,Enkel bilveg,1,40
19,2538388,J207,1943,1940,1943,1941,1944,1941,Enkel bilveg,1,40
20,2538391,J205,1903,1897,1903,1889,1904,1889,Enkel bilveg,1,40
21,2538392,J208,1933,1903,1933,1889,1915,1889,Enkel bilveg,1,40
22,2538418,J51,2350,2361,2350,2393,2349,2393,Enkel bilveg,1,40
23,2538419,J47,2324,2350,2324,2393,2323,2393,Enkel bilveg,1,40
24,2538422,J97,2101,2113,2101,2112,2100,2112,Enkel bilveg,1,40
25,2538485,J28,2312,2342,2312,2343,2315,2343,Enkel bilveg,1,40
26,2538501,J25,2199,2165,2199,2164,2216,2164,Enkel bilveg,1,40
27,2538539,J23,2479,2435,2479,2436,2480,2436,Enkel bilveg,1,60
28,2538544,J26,2436,2494,2436,2493,2479,2493,Enkel bilveg,1,60
29,2644146,J258,1740,1742,1740,1741,1739,1741,Enkel bilveg,1,40
30,2644148,J266,1696,1716,1696,1715,1695,1715,Enkel bilveg,1,40
31,2644150,J268,1755,1753,1755,1754,1756,1754,Enkel bilveg,1,40
32,2644159,J306,1472,1693,1472,1694,1473,1694,Enkel bilveg,1,40
33,2644160,J313,1678,1705,1678,1706,1679,1706,Enkel bilveg,1,40
34,2644163,J315,1485,1514,1485,1515,1486,1515,Enkel bilveg,1,40
35,2644167,J318,1556,1533,1556,1532,1548,1532,Enkel bilveg,1,40
36,2644188,J437,1139,1117,1139,1118,1140,1118,Enkel bilveg,1,40
37,2644189,J419,1105,1147,1105,1148,1104,1148,Enkel bilveg,1,40
