id,label,start_node,end_node,length_m,rounded_length_m,blocks_12m,lanes,speed_limit,road_type,source_road_ids,source_sequences,source_object_keys,path_arc_ids,prune_iteration,dropped_reason
1,R001: 2052694 -> 2672634,2052694:upstream:1,2672634,71.374,72,6,1,40,Enkel bilveg,r001,2052506,2052506-1-4:2052694>2672634,1,1,peripheral_low_speed_single_lane_leaf
2,R002: 2672634 -> 2052694,2672634,2052694:downstream:2,71.374,72,6,1,40,Enkel bilveg,r001,2052506,2052506-1-4:2052694>2672634,2,1,peripheral_low_speed_single_lane_leaf
3,R003: 2672634 -> 2672664,2672634,2672664:downstream:3,18.613,24,2,1,40,Enkel bilveg,r002,2672720,2672720-1-2:2672634>2672664,3,1,peripheral_low_speed_single_lane_leaf
4,R004: 2672664 -> 2672634,2672664:upstream:4,2672634,18.613,24,2,1,40,Enkel bilveg,r002,2672720,2672720-1-2:2672634>2672664,4,1,peripheral_low_speed_single_lane_leaf
7,R007: CN21 -> 2672625,CN21,2672625:downstream:7,118.864,120,10,1,40,Enkel bilveg,r003,2052507,2052507-1-4:2052696>2672625,7,1,peripheral_low_speed_single_lane_leaf
8,R008: 2672625 -> CN21,2672625:upstream:8,CN21,118.864,120,10,1,40,Enkel bilveg,r003,2052507,2052507-1-4:2052696>2672625,8,1,peripheral_low_speed_single_lane_leaf
9,R009: CN20 -> 3287849,CN20,3287849:downstream:9,33.196,36,3,1,40,Enkel bilveg,r004,3287886,3287886-1-2:3287868>3748884 3287886-2-2:3748884>3287849,9 15,1,peripheral_low_speed_single_lane_leaf
12,R012: 3848761 -> CN21,3848761:upstream:12,CN21,22.015,24,2,1,40,Enkel bilveg,r006,3029197,3029197-2-2:3848761>3029209,13,1,peripheral_low_speed_single_lane_leaf
13,R013: CN21 -> 3848761,CN21,3848761:downstream:13,22.015,24,2,1,40,Enkel bilveg,r006,3029197,3029197-2-2:3848761>3029209,14,1,peripheral_low_speed_single_lane_leaf
14,R014: 3287849 -> CN20,3287849:upstream:14,CN20,33.196,36,3,1,40,Enkel bilveg,r004,3287886,3287886-2-2:3748884>3287849 3287886-1-2:3287868>3748884,16 10,1,peripheral_low_speed_single_lane_leaf
17,R017: CN20 -> 2672672,CN20,2672672:downstream:17,63.293,60,5,1,40,Enkel bilveg,r007,2672729,2672729-1-3:2672627>2672672,19,1,peripheral_low_speed_single_lane_leaf
18,R018: 2672672 -> CN20,2672672:upstream:18,CN20,63.293,60,5,1,40,Enkel bilveg,r007,2672729,2672729-1-3:2672627>2672672,20,1,peripheral_low_speed_single_lane_leaf
25,R025: 2672646 -> 2672663,2672646,2672663:downstream:25,24.295,24,2,1,40,Enkel bilveg,r011,2672719,2672719-1-3:2672646>3748881 2672719-2-3:3748881>2672663,35 37,1,peripheral_low_speed_single_lane_leaf
26,R026: 2672663 -> 2672646,2672663:upstream:26,2672646,24.295,24,2,1,40,Enkel bilveg,r011,2672719,2672719-2-3:3748881>2672663 2672719-1-3:2672646>3748881,38 36,1,peripheral_low_speed_single_lane_leaf
30,R030: 3748853 -> CN185,3748853:upstream:30,CN185,99.165,96,8,1,40,Enkel bilveg,r014,615309,615309-1-4:628129>3748853,47,1,peripheral_low_speed_single_lane_leaf
33,R033: CN185 -> 628194,CN185,628194:downstream:33,104.851,108,9,1,40,Enkel bilveg,r010,604008,604008-4-5:628194>628110,52,1,peripheral_low_speed_single_lane_leaf
41,R041: CN88 -> 2672521,CN88,2672521:downstream:41,98.868,96,8,1,40,Enkel bilveg,r028,2672374,2672374-1-3:2672167>2672521,67,1,peripheral_low_speed_single_lane_leaf
42,R042: 2672521 -> CN88,2672521:upstream:42,CN88,98.868,96,8,1,40,Enkel bilveg,r028,2672374,2672374-1-3:2672167>2672521,68,1,peripheral_low_speed_single_lane_leaf
46,R046: CN88 -> 2672480,CN88,2672480:downstream:46,23.073,24,2,1,40,Enkel bilveg,r031,2672331,2672331-1-3:2672168>2672480,75,1,peripheral_low_speed_single_lane_leaf
47,R047: 2672480 -> CN88,2672480:upstream:47,CN88,23.073,24,2,1,40,Enkel bilveg,r031,2672331,2672331-1-3:2672168>2672480,76,1,peripheral_low_speed_single_lane_leaf
49,R049: CN88 -> 2672481,CN88,2672481:downstream:49,29.266,24,2,1,40,Enkel bilveg,r032,2672332,2672332-1-3:2672169>2672481,79,1,peripheral_low_speed_single_lane_leaf
50,R050: 2672481 -> CN88,2672481:upstream:50,CN88,29.266,24,2,1,40,Enkel bilveg,r032,2672332,2672332-1-3:2672169>2672481,80,1,peripheral_low_speed_single_lane_leaf
53,R053: 3748456 -> CN92,3748456:upstream:53,CN92,67.652,72,6,1,40,Enkel bilveg,r034,2672710,2672710-2-3:3748456>2672656,85,1,peripheral_low_speed_single_lane_leaf
54,R054: CN92 -> 3748456,CN92,3748456:downstream:54,67.652,72,6,1,40,Enkel bilveg,r034,2672710,2672710-2-3:3748456>2672656,86,1,peripheral_low_speed_single_lane_leaf
55,R055: CN88 -> 2672520,CN88,2672520:downstream:55,54.225,60,5,1,40,Enkel bilveg,r035,2672373,2672373-1-3:2672170>2672520,87,1,peripheral_low_speed_single_lane_leaf
56,R056: 2672520 -> CN88,2672520:upstream:56,CN88,54.225,60,5,1,40,Enkel bilveg,r035,2672373,2672373-1-3:2672170>2672520,88,1,peripheral_low_speed_single_lane_leaf
57,R057: CN92 -> 3748456,CN92,3748456:downstream:57,34.338,36,3,1,40,Enkel bilveg,r034,2672710,2672710-1-3:2672655>3748456,91,1,peripheral_low_speed_single_lane_leaf
58,R058: 3748456 -> CN92,3748456:upstream:58,CN92,34.338,36,3,1,40,Enkel bilveg,r034,2672710,2672710-1-3:2672655>3748456,92,1,peripheral_low_speed_single_lane_leaf
59,R059: CN107 -> 2745265,CN107,2745265:downstream:59,44.854,48,4,1,40,Enkel bilveg,r036,2745383,2745383-1-3:2745076>2745265,95,1,peripheral_low_speed_single_lane_leaf
60,R060: 2745265 -> CN107,2745265:upstream:60,CN107,44.854,48,4,1,40,Enkel bilveg,r036,2745383,2745383-1-3:2745076>2745265,96,1,peripheral_low_speed_single_lane_leaf
61,R061: CN88 -> 2745266,CN88,2745266:downstream:61,30.987,36,3,1,40,Enkel bilveg,r037,2745384,2745384-1-3:2745077>2745266,97,1,peripheral_low_speed_single_lane_leaf
62,R062: 2745266 -> CN88,2745266:upstream:62,CN88,30.987,36,3,1,40,Enkel bilveg,r037,2745384,2745384-1-3:2745077>2745266,98,1,peripheral_low_speed_single_lane_leaf
67,R067: CN88 -> 2672482,CN88,2672482:downstream:67,50.204,48,4,1,40,Enkel bilveg,r039,2672333,2672333-1-3:2672171>2672482,105,1,peripheral_low_speed_single_lane_leaf
68,R068: 2672482 -> CN88,2672482:upstream:68,CN88,50.204,48,4,1,40,Enkel bilveg,r039,2672333,2672333-1-3:2672171>2672482,106,1,peripheral_low_speed_single_lane_leaf
69,R069: 2672660 -> CN91,2672660:upstream:69,CN91,39.405,36,3,1,40,Enkel bilveg,r040,2672716,2672716-1-3:2672660>3748441 2672716-2-3:3748441>2672658,107 127,1,peripheral_low_speed_single_lane_leaf
70,R070: CN92 -> 2672675,CN92,2672675:downstream:70,15.529,12,1,1,40,Enkel bilveg,r042,2672734,2672734-1-3:2672656>2672675,109,1,peripheral_low_speed_single_lane_leaf
71,R071: 2672675 -> CN92,2672675:upstream:71,CN92,15.529,12,1,1,40,Enkel bilveg,r042,2672734,2672734-1-3:2672656>2672675,110,1,peripheral_low_speed_single_lane_leaf
72,R072: CN107 -> 3770690,CN107,3770690:downstream:72,19.422,24,2,1,40,Enkel bilveg,r043,3770711,3770711-1-1:3770674>3770690,111,1,peripheral_low_speed_single_lane_leaf
73,R073: 3770690 -> CN107,3770690:upstream:73,CN107,19.422,24,2,1,40,Enkel bilveg,r043,3770711,3770711-1-1:3770674>3770690,112,1,peripheral_low_speed_single_lane_leaf
76,R076: CN88 -> 2672486,CN88,2672486:downstream:76,28.522,24,2,1,40,Enkel bilveg,r045,2672337,2672337-1-3:2672172>2672486,119,1,peripheral_low_speed_single_lane_leaf
