node_id,node_label,node_type,incoming_road_ids,outgoing_road_ids,degree_directed
0.07948881@2802005:upstream:2240,B01u,boundary,,1011,1
1220150:terminal_downstream:645,J351d,boundary,645,,1
1220150:terminal_upstream:646,J351u,boundary,,646,1
1220491:terminal_downstream:1264,J528d,boundary,1264,,1
1220491:terminal_upstream:1263,J528u,boundary,,1263,1
1220544:terminal_downstream:244,J620d,boundary,244,,1
1220544:terminal_upstream:237,J620u,boundary,,237,1
1221170:terminal_downstream:1119,J35d,boundary,1119,,1
1221170:terminal_upstream:1120,J35u,boundary,,1120,1
1238650,J151,junction,1062,1076 1077,3
1238685:terminal_downstream:985,J42d,boundary,985,,1
1238685:terminal_upstream:970,J42u,boundary,,970,1
1238834:terminal_downstream:969,J150d,boundary,969,,1
1238834:terminal_upstream:939,J150u,boundary,,939,1
1238835:terminal_downstream:294,J503d,boundary,294,,1
1238835:terminal_upstream:295,J503u,boundary,,295,1
1238888:terminal_downstream:669,J340d,boundary,669,,1
1238888:terminal_upstream:670,J340u,boundary,,670,1
1238939:terminal_downstream:890,J222d,boundary,890,,1
1238939:terminal_upstream:817,J222u,boundary,,817,1
1239232:terminal_downstream:933,J63d,boundary,933,,1
1239232:terminal_upstream:937,J63u,boundary,,937,1
1239370:terminal_downstream:868,J198d,boundary,868,,1
1239370:terminal_upstream:875,J198u,boundary,,875,1
1239591:terminal_downstream:391,J464d,boundary,391,,1
1239591:terminal_upstream:392,J464u,boundary,,392,1
1240792,J710,junction,241 1292,73 1291,4
1240846:terminal_downstream:233,J685d,boundary,233,,1
1240846:terminal_upstream:57,J685u,boundary,,57,1
1240849:terminal_downstream:218,J576d,boundary,218,,1
1240849:terminal_upstream:222,J576u,boundary,,222,1
1241078:terminal_downstream:479,J490d,boundary,479,,1
1241078:terminal_upstream:480,J490u,boundary,,480,1
1241091:terminal_downstream:490,J481d,boundary,490,,1
1241091:terminal_upstream:488,J481u,boundary,,488,1
1246082,J756,junction,18,19,2
1400333:terminal_downstream:837,J240d,boundary,837,,1
1400333:terminal_upstream:838,J240u,boundary,,838,1
1401536:terminal_downstream:774,J255d,boundary,774,,1
1401536:terminal_upstream:773,J255u,boundary,,773,1
1401543:terminal_downstream:538,J427d,boundary,538,,1
1401543:terminal_upstream:542,J427u,boundary,,542,1
1402059:terminal_downstream:388,J469d,boundary,388,,1
1402059:terminal_upstream:389,J469u,boundary,,389,1
1402817,J391,junction,1272 1276,1271 1275,4
1403399:terminal_downstream:605,J415d,boundary,605,,1
1403399:terminal_upstream:583,J415u,boundary,,583,1
1405014:terminal_downstream:732,J320d,boundary,732,,1
1405014:terminal_upstream:733,J320u,boundary,,733,1
1405658,J650,junction,175 1278,176 1277,4
1406400:terminal_downstream:1162,J16d,boundary,1162,,1
1406400:terminal_upstream:1163,J16u,boundary,,1163,1
1407100:terminal_downstream:500,J478d,boundary,500,,1
1407100:terminal_upstream:505,J478u,boundary,,505,1
1407809:terminal_downstream:437,J517d,boundary,437,,1
1407809:terminal_upstream:407,J517u,boundary,,407,1
1407834,J708,junction,112 119 129,120 124,5
1407842:terminal_downstream:96,J673d,boundary,96,,1
1407842:terminal_upstream:100,J673u,boundary,,100,1
1409921:terminal_downstream:1101,J44d,boundary,1101,,1
1409921:terminal_upstream:1102,J44u,boundary,,1102,1
1411087,J166,junction,1227 1296,1228 1295,4
1411108,J235,junction,737 738,736 739,4
1411111:terminal_downstream:947,J124d,boundary,947,,1
1411111:terminal_upstream:938,J124u,boundary,,938,1
1411112:terminal_downstream:533,J421d,boundary,533,,1
1411112:terminal_upstream:507,J421u,boundary,,507,1
1412982,J126,junction,1031 1041 1043,991 1025 1042,6
1425306,J755,junction,12 134,10 135,4
1471821,J720,junction,28 33 166,29 30 31,6
1713043,J267,junction,760,753 755,3
1817921,J110,junction,927 954,926 943,4
1817926,J121,boundary,,975,1
1915943:terminal_downstream:297,J602d,boundary,297,,1
1915943:terminal_upstream:291,J602u,boundary,,291,1
1915946,J628,junction,316 1262,315 1261,4
1915962:terminal_downstream:332,J625d,boundary,332,,1
1915962:terminal_upstream:216,J625u,boundary,,216,1
1917096,J113,junction,1068 1081,1063,3
1917135:terminal_downstream:396,J485d,boundary,396,,1
1917135:terminal_upstream:394,J485u,boundary,,394,1
1917147,J501,junction,395 410 411,408 409 412,6
1917148:terminal_downstream:408,J504d,boundary,408,,1
1917148:terminal_upstream:395,J504u,boundary,,395,1
1917149,J483,junction,383 394 397,382 396 398,6
1917151:terminal_downstream:404,J480d,boundary,404,,1
1917151:terminal_upstream:405,J480u,boundary,,405,1
1935603:terminal_downstream:38,J762d,boundary,38,,1
1935603:terminal_upstream:39,J762u,boundary,,39,1
1935608,J725,junction,48 1286,51 1285,4
2221468,J139,junction,1217,1218 1224,3
2221471,J158,junction,907,1199 1200,3
2221472,J177,junction,905 1199,903 907,4
2228113,J365,junction,631,632 633,3
2479050,J424,junction,555 564,554 560,4
2538384:downstream:2336,B79d,boundary,1066,,1
2538385:upstream:2357,B75u,boundary,,1078,1
2538407,J100,junction,1053 1072,1073 1075,4
2538414,J104,junction,1034 1061,1055 1058,4
2538415,J101,junction,1057 1065,1060 1064,4
2538421,J74,junction,988 1018,989 1008,4
2538475:terminal_downstream:929,J54d,boundary,929,,1
2538475:terminal_upstream:930,J54u,boundary,,930,1
2538476,J24,junction,913 948 956,936 945 946,6
2538489,J89,junction,1182 1186 1202,1184 1187,5
2538490,J92,junction,1164 1183,1180 1186,4
2538491:terminal_downstream:1180,J102d,boundary,1180,,1
2538491:terminal_upstream:1164,J102u,boundary,,1164,1
2538516:terminal_downstream:973,J103d,boundary,973,,1
2538516:terminal_upstream:974,J103u,boundary,,974,1
2538522,J18,junction,965 967,966 983,4
2538560:terminal_downstream:1060,J96d,boundary,1060,,1
2538560:terminal_upstream:1057,J96u,boundary,,1057,1
2538562,J115,junction,1025 1042,1041 1043,4
2541046,J157,junction,1088 1096,1090 1097 1098,5
2541056,J11,junction,912 922,921 923,4
2547541,J105,junction,911 918,910 919,4
2547542,J108,junction,919 926,918 927,4
2642376,J22,junction,946 966 983,956 965 967,6
2642957:terminal_downstream:1241,J194d,boundary,1241,,1
2642957:terminal_upstream:1242,J194u,boundary,,1242,1
2644154,J276,junction,678 779 793,679 780 792,6
2644157:terminal_downstream:1280,J286d,boundary,1280,,1
2644157:terminal_upstream:1279,J286u,boundary,,1279,1
2644169,J327,junction,671 1260,672 1259,4
2644279,J273,junction,792 1284,793 1283,4
2646623:terminal_downstream:826,J257d,boundary,826,,1
2646623:terminal_upstream:825,J257u,boundary,,825,1
2646684:terminal_downstream:335,J533d,boundary,335,,1
2646684:terminal_upstream:336,J533u,boundary,,336,1
2646686,J447,junction,471 484 485,470 482 483,6
2646723,J461,junction,483 1300,484 1299,4
2646754,J500,junction,477 487,478 481,4
2646757:terminal_downstream:1275,J395d,boundary,1275,,1
