id,original_sim_road_id,label,start_node,end_node,length_m,rounded_length_m,blocks_12m,lanes,speed_limit,road_type,source_road_ids,source_sequences,source_object_keys,path_arc_ids
1,5,R001: 2672634 -> CN20,2672634:terminal_upstream:1,CN20,34.157,36,3,1,40,Enkel bilveg,r001,2052506,2052506-2-4:2672634>3287868,5
2,6,R002: CN20 -> 2672634,CN20,2672634:terminal_downstream:2,34.157,36,3,1,40,Enkel bilveg,r001,2052506,2052506-2-4:2672634>3287868,6
3,10,R003: CN20 -> CN21,CN20,CN21:terminal_downstream:3,33.492,36,3,1,40,Enkel bilveg,r005,615334,615334-2-4:2052695>2052696,11
4,11,R004: CN21 -> CN20,CN21:terminal_upstream:4,CN20,33.492,36,3,1,40,Enkel bilveg,r005,615334,615334-2-4:2052695>2052696,12
5,15,R005: CN90 -> CN20,CN90,CN20,70.380,72,6,1,40,Enkel bilveg,r005,615334,615334-4-4:2672626>2672627,17
6,16,R006: CN20 -> CN90,CN20,CN90,70.380,72,6,1,40,Enkel bilveg,r005,615334,615334-4-4:2672626>2672627,18
7,19,R007: CN90 -> 2672646,CN90,2672646:terminal_downstream:7,48.512,48,4,1,40,Enkel bilveg,r008,2672696,2672696-2-3:3748867>2672626 2672696-1-3:2672646>3748867,22 24
8,20,R008: 2672646 -> CN90,2672646:terminal_upstream:8,CN90,48.512,48,4,1,40,Enkel bilveg,r008,2672696,2672696-1-3:2672646>3748867 2672696-2-3:3748867>2672626,23 21
9,21,R009: CN90 -> 628048,CN90,628048,16.751,12,1,1,40,Enkel bilveg,r009,607183,607183-2-4:3748883>628052 607183-1-4:628048>3748883,26 32
10,22,R010: 1425306 -> 628048,1425306,628048,35.412,36,3,1,40,Enkel bilveg,r010,604008,604008-10-5:2823766>1425306 604008-9-5:628036>2823766 604008-8-5:628048>628036,28 30 34
11,23,R011: 628048 -> CN90,628048,CN90,16.751,12,1,1,40,Enkel bilveg,r009,607183,607183-1-4:628048>3748883 607183-2-4:3748883>628052,31 25
12,24,R012: 628048 -> 1425306,628048,1425306,35.412,36,3,1,40,Enkel bilveg,r010,604008,604008-8-5:628048>628036 604008-9-5:628036>2823766 604008-10-5:2823766>1425306,33 29 27
13,27,R013: 628048 -> CN185,628048,CN185:terminal_downstream:13,87.152,84,7,1,40,Enkel bilveg,r010,604008,604008-7-5:628058>628048 604008-6-5:3061490>628058 604008-5-5:628110>3061490,40 42 45
14,29,R014: CN185 -> 628048,CN185:terminal_upstream:14,628048,87.152,84,7,1,40,Enkel bilveg,r010,604008,604008-5-5:628110>3061490 604008-6-5:3061490>628058 604008-7-5:628058>628048,44 41 39
15,31,R015: CN183 -> 628188:downstream:31,CN183,628188:downstream:31,154.000,156,13,1,50,Rampe,r016,625349,625349-3-11:628064>628188,49
16,32,R016: CN183 -> 4087854:downstream:32,CN183,4087854:downstream:32,209.643,204,17,3,80,Kanalisert veg,r012,626896,626896-52-11:3065454>628053 626896-69-11:4087854>3065454,50 56
18,35,R018: CN184 -> 1246082,CN184,1246082,80.444,84,7,1,50,Rampe,r019,625353,625353-2-8:628099>1246082,54
19,36,R019: 1246082 -> RB33,1246082,RB33,49.593,48,4,1,40,Enkel bilveg,r020,604667,604667-1-3:1246082>3061674 604667-2-3:3061674>3247339,55 58
20,37,R020: 4087858:upstream:37 -> CN184,4087858:upstream:37,CN184,85.005,84,7,4,80,Kanalisert veg,r015,625751,625751-56-11:4087858>628121,57
21,38,R021: RB33 -> CN88,RB33,CN88,59.375,60,5,1,40,Enkel bilveg,r025,605395,605395-1-3:3247338>3538961 605395-42-3:3538961>3748340 605395-46-3:3748340>2672167,59 61 71
22,39,R022: RB33 -> 627991,RB33,627991,28.990,24,2,1,40,Kanalisert veg,r026,626376,626376-1-3:628009>2745080 626376-2-3:2745080>627991,63 66
23,40,R023: 627991 -> RB33,627991,RB33,21.935,24,2,1,40,Kanalisert veg,r027,627172,627172-2-3:2745082>627991 627172-1-3:627995>2745082,65 64
24,44,R024: CN88 -> RB33,CN88,RB33,59.375,60,5,1,40,Enkel bilveg,r025,605395,605395-46-3:3748340>2672167 605395-42-3:3538961>3748340 605395-1-3:3247338>3538961,72 62 60
25,45,R025: 627991 -> CN89,627991,CN89,163.729,168,14,2,40,Enkel bilveg,r030,604669,604669-6-3:627991>627988 604669-7-3:627988>2672604,73 77
26,48,R026: CN89 -> 627991,CN89,627991,163.729,168,14,2,40,Enkel bilveg,r030,604669,604669-7-3:627988>2672604 604669-6-3:627991>627988,78 74
31,92,R031: 1471821 -> 2672630,1471821,2672630,56.462,60,5,1,40,Enkel bilveg,r051,615308,615308-7-4:3748297>1471821 615308-3-4:2672630>3748297,146 156
32,95,R032: 3770650 -> 2672630,3770650,2672630,29.517,24,2,1,40,Enkel bilveg,r053,2672721,2672721-2-4:3748354>3770650 2672721-3-4:3748294>3748354 2672721-1-4:2672630>3748294,150 154 158
33,98,R033: 2672630 -> 1471821,2672630,1471821,56.462,60,5,1,40,Enkel bilveg,r051,615308,615308-3-4:2672630>3748297 615308-7-4:3748297>1471821,155 145
34,99,R034: 2672630 -> 3770650,2672630,3770650,29.517,24,2,1,40,Enkel bilveg,r053,2672721,2672721-1-4:2672630>3748294 2672721-3-4:3748294>3748354 2672721-2-4:3748354>3770650,157 153 149
36,103,R036: CN88 -> 2672176,CN88,2672176:terminal_downstream:36,33.928,36,3,1,40,Enkel bilveg,r025,605395,605395-4-3:628123>2672176,163
