road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
1,1,3,0.1666666667,0.01760270861,0.01760270861,0
1,2,3,0.5,0.0246795164,0.0246795164,0
1,3,3,0.8333333333,0.03566751538,0.03566751538,0
2,1,3,0.1666666667,0.1261149447,0.1261149447,0
2,2,3,0.5,0.1368325067,0.1368325067,0
2,3,3,0.8333333333,0.1413994406,0.1413994406,0
3,1,3,0.1666666667,0.1888263643,0.1888263643,0
3,2,3,0.5,0.1980528276,0.1980528276,0
3,3,3,0.8333333333,0.2011739047,0.2011739047,0
4,1,3,0.1666666667,0.03547196521,0.03547196521,0
4,2,3,0.5,0.06302914057,0.06302914057,0
4,3,3,0.8333333333,0.1040654241,0.1040654241,0
5,1,6,0.08333333333,0.1561348651,0.1561348651,0
5,2,6,0.25,0.1545090595,0.1545090595,0
5,3,6,0.4166666667,0.154611371,0.154611371,0
5,4,6,0.5833333333,0.1698900623,0.1698900623,0
5,5,6,0.75,0.2863477437,0.2863477437,0
5,6,6,0.9166666667,0.4963371317,0.4963371317,0
6,1,6,0.08333333333,0.194174073,0.194174073,0
6,2,6,0.25,0.1998667508,0.1998667508,0
6,3,6,0.4166666667,0.198835477,0.198835477,0
6,4,6,0.5833333333,0.1953198093,0.1953198093,0
6,5,6,0.75,0.1907552833,0.1907552833,0
6,6,6,0.9166666667,0.1862324052,0.1862324052,0
7,1,4,0.125,0.05098209354,0.05098209354,0
7,2,4,0.375,0.05170662945,0.05170662945,0
7,3,4,0.625,0.05180161085,0.05180161085,0
7,4,4,0.875,0.05166517552,0.05166517552,0
8,1,4,0.125,0.009271691297,0.009271691297,0
8,2,4,0.375,0.01563782159,0.01563782159,0
8,3,4,0.625,0.02297057808,0.02297057808,0
8,4,4,0.875,0.0283256015,0.0283256015,0
9,1,1,0.5,0.1023834656,0.1023834656,0
10,1,3,0.1666666667,0.05126057475,0.05126057475,0
10,2,3,0.5,0.05117797439,0.05117797439,0
10,3,3,0.8333333333,0.05119460429,0.05119460429,0
11,1,1,0.5,0.1031541567,0.1031541567,0
12,1,3,0.1666666667,0.04952327265,0.04952327265,0
12,2,3,0.5,0.04918173818,0.04918173818,0
12,3,3,0.8333333333,0.04887036015,0.04887036015,0
13,1,7,0.07142857143,0.04917797647,0.04917797647,0
13,2,7,0.2142857143,0.04895945779,0.04895945779,0
13,3,7,0.3571428571,0.05165122994,0.05165122994,0
13,4,7,0.5,0.08349058963,0.08349058963,0
13,5,7,0.6428571429,0.2808712079,0.2808712079,0
13,6,7,0.7857142857,0.5357893148,0.5357893148,0
13,7,7,0.9285714286,0.5354878651,0.5354878651,0
