quantity	value
horizon_seconds	180.0
observation_times_seconds	30.0 60.0 90.0 120.0 150.0 180.0
target_nodes	20
learned_rows	45
latent_parameters	97
sensor_roads	14
observations	84
forward_seconds	20.3864158
prior_scale	1.25
generated_peak_noise_sigma	0.08
sigma_floor_fraction	0.15
sigma_absolute_floor	0.001
esmda_covariance_inflation	1.02
esmda_ensemble	64
esmda_steps	2
esmda_seconds	2155.0620685
esmda_turning_rmse	0.1846007754139012
esmda_turning_mae	0.1355771191136774
esmda_mean_width	0.5812895230525689
esmda_coverage	130/142
esmda_fit_rmse	0.08487659830234677
esmda_predictive_rmse	0.009321529660549194
esmda_predictive_coverage	84/84
lbfgs_status	skipped
