target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_roads	active_matrix_columns	latent_parameter_indices	latent_parameter_names	true_turning_fractions
1	J686	junction	54	1	139	168 171 173	1 2 3	1 2	z_j54_r1_k1 z_j54_r1_k2	0.09361418820714107 0.8485888075961578 0.057797004196701085
2	J686	junction	54	2	163	168 171 173	1 2 3	3 4	z_j54_r2_k1 z_j54_r2_k2	0.4909049022109637 0.25530481546492173 0.25379028232411444
3	J686	junction	54	3	180	168 171 173	1 2 3	5 6	z_j54_r3_k1 z_j54_r3_k2	0.5068835415786004 0.23993260735922511 0.25318385106217445
4	J168	junction	196	1	939	969 971 972	1 2 3	7 8	z_j196_r1_k1 z_j196_r1_k2	0.5007600539061456 0.21831780390905203 0.28092214218480227
5	J168	junction	196	2	957	969 971 972	1 2 3	9 10	z_j196_r2_k1 z_j196_r2_k2	0.12000808802377613 0.7942807287152753 0.08571118326094862
6	J168	junction	196	3	986	969 971 972	1 2 3	11 12	z_j196_r3_k1 z_j196_r3_k2	0.41891979061238654 0.17132157400051318 0.4097586353871002
7	J245	junction	219	1	801	800 806 809	1 2 3	13 14	z_j219_r1_k1 z_j219_r1_k2	0.3612270427124668 0.1525558405199796 0.48621711676755347
8	J245	junction	219	2	807	800 806 809	1 2 3	15 16	z_j219_r2_k1 z_j219_r2_k2	0.10025093839765532 0.7256465792595052 0.17410248234283968
9	J245	junction	219	3	808	800 806 809	1 2 3	17 18	z_j219_r3_k1 z_j219_r3_k2	0.28709692808177784 0.1421794519418701 0.5707236199763521
10	J411	junction	258	1	565	570 574 575	1 2 3	19 20	z_j258_r1_k1 z_j258_r1_k2	0.3260774450775358 0.3542853025126007 0.31963725240986357
11	J411	junction	258	2	566	570 574 575	1 2 3	21 22	z_j258_r2_k1 z_j258_r2_k2	0.332665178842547 0.38942130416048126 0.2779135169969718
12	J411	junction	258	3	576	570 574 575	1 2 3	23 24	z_j258_r3_k1 z_j258_r3_k2	0.08057718230932603 0.09821284373485813 0.8212099739558157
13	J416	junction	261	1	507	520 533 535	1 2 3	25 26	z_j261_r1_k1 z_j261_r1_k2	0.08585171272808274 0.8350226373741184 0.07912564989779888
14	J416	junction	261	2	519	520 533 535	1 2 3	27 28	z_j261_r2_k1 z_j261_r2_k2	0.4424993427781757 0.25718293248718976 0.3003177247346346
15	J416	junction	261	3	543	520 533 535	1 2 3	29 30	z_j261_r3_k1 z_j261_r3_k2	0.4804376639133312 0.25840010426064375 0.26116223182602505
16	J635	junction	308	1	54	103 104 105	1 2 3	31 32	z_j308_r1_k1 z_j308_r1_k2	0.5033156412576704 0.24657596070982862 0.25010839803250096
17	J635	junction	308	2	72	103 104 105	1 2 3	33 34	z_j308_r2_k1 z_j308_r2_k2	0.5058520174464466 0.22673042737998464 0.26741755517356874
18	J635	junction	308	3	110	103 104 105	1 2 3	35 36	z_j308_r3_k1 z_j308_r3_k2	0.11955446100969405 0.8032404603323093 0.07720507865799663
19	J644	junction	339	1	224	52 232 235 236	1 2 3 4	37 38 39	z_j339_r1_k1 z_j339_r1_k2 z_j339_r1_k3	0.2980140144728209 0.24352325366490454 0.19998858459558538 0.25847414726668927
20	J644	junction	339	2	225	52 232 235 236	1 2 3 4	40 41 42	z_j339_r2_k1 z_j339_r2_k2 z_j339_r2_k3	0.2671144811766778 0.22188770511987568 0.19008681566131008 0.32091099804213635
21	J644	junction	339	3	227	52 232 235 236	1 2 3 4	43 44 45	z_j339_r3_k1 z_j339_r3_k2 z_j339_r3_k3	0.233058968152908 0.20488261428466809 0.1893420200762612 0.37271639748616286
22	J246	junction	386	1	790	791 795	1 2	46	z_j386_r1_k1	0.6753648945466898 0.32463510545331026
23	J641	junction	457	1	98	81 87	1 2	47	z_j457_r1_k1	0.3326582022818592 0.6673417977181408
24	RB08	roundabout	475	1	1063	1047 1049 1052 1056	1 2 3 4	48 49 50	z_j475_r1_k1 z_j475_r1_k2 z_j475_r1_k3	0.18873779394143808 0.21565025119263456 0.25592928587895575 0.3396826689869717
25	RB10	roundabout	477	1	1012	1006 1007 1016	1 2 3	51 52	z_j477_r1_k1 z_j477_r1_k2	0.27563462438834896 0.33256394563593883 0.39180142997571216
26	RB10	roundabout	477	2	1047	1006 1007 1016	1 2 3	53 54	z_j477_r2_k1 z_j477_r2_k2	0.30642350828532183 0.3748266198606942 0.31874987185398396
27	RB14	roundabout	481	1	1052	993 994 995 996 998 1000	1 2 3 4 5 6	55 56 57 58 59	z_j481_r1_k1 z_j481_r1_k2 z_j481_r1_k3 z_j481_r1_k4 z_j481_r1_k5	0.13706689862522162 0.16271609980080076 0.1859955472644257 0.20244121038105362 0.20832755241030132 0.10345269151819707
28	RB18	roundabout	485	1	783	781 784 794	1 2 3	60 61	z_j485_r1_k1 z_j485_r1_k2	0.3714557218456296 0.4123240886709948 0.2162201894833756
