entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	mean	median	q05	q25	q75	q95	mean_abs_error	width90	covered90
1	1	J686	junction	54	1	139	168	1	1	0.09361418821	0.2978954931	0.2304334801	0.059291002	0.1158043325	0.3814076445	0.7367697552	0.2042813049	0.6774787532	true
2	1	J686	junction	54	1	139	171	2	2	0.8485888076	0.3563103685	0.3629625036	0.05366348095	0.167002929	0.4833181807	0.745397716	0.4922784391	0.6917342351	false
3	1	J686	junction	54	1	139	173	3	3	0.0577970042	0.3457941384	0.332667879	0.09236064454	0.2069375547	0.4490448179	0.6208554377	0.2879971342	0.5284947931	false
4	2	J686	junction	54	2	163	168	1	1	0.4909049022	0.3538744063	0.3385658896	0.02924489766	0.1624806858	0.5058914366	0.7865054178	0.1370304959	0.7572605201	true
5	2	J686	junction	54	2	163	171	2	2	0.2553048155	0.3433340256	0.3142108973	0.04964879142	0.1546499087	0.468980261	0.8469158366	0.08802921011	0.7972670452	true
6	2	J686	junction	54	2	163	173	3	3	0.2537902823	0.3027915682	0.2945471358	0.07392920235	0.1765731252	0.414425676	0.5239236834	0.04900128583	0.4499944811	true
7	3	J686	junction	54	3	180	168	1	1	0.5068835416	0.4261946839	0.4209690855	0.09748904478	0.2460323281	0.5657761964	0.7847162328	0.08068885764	0.687227188	true
8	3	J686	junction	54	3	180	171	2	2	0.2399326074	0.3197577621	0.3048691948	0.08368480139	0.1935770358	0.3904517641	0.7159959847	0.07982515479	0.6323111833	true
9	3	J686	junction	54	3	180	173	3	3	0.2531838511	0.2540475539	0.223352118	0.09607508204	0.1409432593	0.2679008503	0.6957178707	0.0008637028507	0.5996427886	true
10	4	J168	junction	196	1	939	969	1	1	0.5007600539	0.3900073007	0.3605717399	0.05158380199	0.1729482289	0.5992402493	0.7700616603	0.1107527532	0.7184778583	true
11	4	J168	junction	196	1	939	971	2	2	0.2183178039	0.3094793643	0.2368198732	0.04498006609	0.1312604325	0.4782835902	0.7016854292	0.09116156039	0.6567053631	true
12	4	J168	junction	196	1	939	972	3	3	0.2809221422	0.300513335	0.2523190629	0.09317130778	0.1866379795	0.3892967732	0.6504212166	0.01959119283	0.5572499089	true
13	5	J168	junction	196	2	957	969	1	1	0.120008088	0.432844689	0.4533638479	0.07489037679	0.2248650883	0.5985329405	0.7567969189	0.312836601	0.6819065421	true
14	5	J168	junction	196	2	957	971	2	2	0.7942807287	0.3317343595	0.2992959884	0.06347015931	0.1679429587	0.4738407	0.718891947	0.4625463692	0.6554217877	false
15	5	J168	junction	196	2	957	972	3	3	0.08571118326	0.2354209515	0.2194341177	0.07460237566	0.1491221112	0.3069976215	0.4348204905	0.1497097683	0.3602181148	true
16	6	J168	junction	196	3	986	969	1	1	0.4189197906	0.4029790051	0.3853591651	0.06861194711	0.1940977558	0.6008044984	0.7600674452	0.01594078548	0.6914554981	true
17	6	J168	junction	196	3	986	971	2	2	0.171321574	0.3502054433	0.2824997997	0.06977308074	0.1697071496	0.506067543	0.7992704793	0.1788838693	0.7294973986	true
18	6	J168	junction	196	3	986	972	3	3	0.4097586354	0.2468155516	0.2112852859	0.0931857021	0.1466521876	0.3081936577	0.4558750221	0.1629430838	0.36268932	true
19	7	J245	junction	219	1	801	800	1	1	0.3612270427	0.374273898	0.3533106683	0.08495149502	0.206731533	0.4948996025	0.7501530089	0.01304685529	0.6652015138	true
20	7	J245	junction	219	1	801	806	2	2	0.1525558405	0.335570818	0.2755792648	0.06316121941	0.1562488951	0.4886556633	0.7442050368	0.1830149775	0.6810438174	true
21	7	J245	junction	219	1	801	809	3	3	0.4862171168	0.290155284	0.2822314217	0.07479835987	0.1700556269	0.3916142638	0.5788585407	0.1960618327	0.5040601809	true
22	8	J245	junction	219	2	807	800	1	1	0.1002509384	0.3577628033	0.3128754471	0.06667574272	0.1985238436	0.4579518261	0.7779703503	0.2575118649	0.7112946076	true
23	8	J245	junction	219	2	807	806	2	2	0.7256465793	0.3565493403	0.338391807	0.05297325617	0.2040369564	0.4694703474	0.75892935	0.3690972389	0.7059560938	true
24	8	J245	junction	219	2	807	809	3	3	0.1741024823	0.2856878564	0.2832535145	0.06349396076	0.1590400988	0.3893205069	0.5309416827	0.111585374	0.467447722	true
25	9	J245	junction	219	3	808	800	1	1	0.2870969281	0.3178732181	0.2283263873	0.03521623387	0.125854869	0.4843058793	0.7676938056	0.03077629	0.7324775717	true
26	9	J245	junction	219	3	808	806	2	2	0.1421794519	0.4096520261	0.3631770136	0.08538894263	0.2178938244	0.6064224987	0.7556166514	0.2674725742	0.6702277087	true
27	9	J245	junction	219	3	808	809	3	3	0.57072362	0.2724747558	0.2434134523	0.0593956634	0.1467521599	0.3964297194	0.5889378621	0.2982488642	0.5295421987	true
28	10	J411	junction	258	1	565	570	1	1	0.3260774451	0.3306528868	0.2797461549	0.0529050846	0.1538239037	0.490394818	0.6997243382	0.00457544177	0.6468192537	true
29	10	J411	junction	258	1	565	574	2	2	0.3542853025	0.3374365008	0.3537160781	0.04292890084	0.1422732287	0.4693032939	0.6972879037	0.01684880172	0.6543590028	true
30	10	J411	junction	258	1	565	575	3	3	0.3196372524	0.3319106124	0.3199319742	0.1022298969	0.203949023	0.4390870821	0.5310170491	0.01227335995	0.4287871522	true
31	11	J411	junction	258	2	566	570	1	1	0.3326651788	0.2890704567	0.2021987944	0.0622174466	0.1220316256	0.3646180135	0.7988042181	0.04359472212	0.7365867715	true
32	11	J411	junction	258	2	566	574	2	2	0.3894213042	0.4086255725	0.4222730667	0.06963064459	0.1925374022	0.5721737734	0.7434476459	0.01920426836	0.6738170013	true
33	11	J411	junction	258	2	566	575	3	3	0.277913517	0.3023039708	0.2751327343	0.08847672764	0.1853360783	0.3835328987	0.5955665695	0.02439045376	0.5070898418	true
