parameter_index	parameter_name	true_logit	map_logit	error
1	z_j54_r1_k1	0.4822450116	0	-0.4822450116
2	z_j54_r1_k2	2.6866378	0	-2.6866378
3	z_j54_r2_k1	0.6597421614	0	-0.6597421614
4	z_j54_r2_k2	0.005949920223	0	-0.005949920223
5	z_j54_r3_k1	0.6941653673	0	-0.6941653673
6	z_j54_r3_k2	-0.05375782762	0	0.05375782762
7	z_j196_r1_k1	0.5780494952	0.1331566552	-0.44489284
8	z_j196_r1_k2	-0.2521257396	0.1331566552	0.3852823947
9	z_j196_r2_k1	0.3365758305	0.4172680252	0.08069219471
10	z_j196_r2_k2	2.226453651	0.4172680252	-1.809185626
11	z_j196_r3_k1	0.02211117891	0.2682986024	0.2461874235
12	z_j196_r3_k2	-0.872025952	0.2682986024	1.140324554
13	z_j219_r1_k1	-0.2971485786	-0.02149370935	0.2756548693
14	z_j219_r1_k2	-1.15912457	0.01093817794	1.170062748
15	z_j219_r2_k1	-0.5519676781	-0.02136658612	0.530601092
16	z_j219_r2_k2	1.427418986	0.01089537557	-1.41652361
17	z_j219_r3_k1	-0.6870851772	-0.02321163569	0.6638735415
18	z_j219_r3_k2	-1.389815059	0.01180128905	1.401616348
19	z_j258_r1_k1	0.01994814816	0	-0.01994814816
20	z_j258_r1_k2	0.1029157613	0	-0.1029157613
21	z_j258_r2_k1	0.1798265399	0	-0.1798265399
22	z_j258_r2_k2	0.3373518263	0	-0.3373518263
23	z_j258_r3_k1	-2.321563319	0	2.321563319
24	z_j258_r3_k2	-2.123641832	0	2.123641832
25	z_j261_r1_k1	0.0815844434	7.713238369e-22	-0.0815844434
26	z_j261_r1_k2	2.356421741	9.614430429e-11	-2.356421741
27	z_j261_r2_k1	0.3875979825	-3.960384426e-22	-0.3875979825
28	z_j261_r2_k2	-0.1550533654	1.430715004e-10	0.1550533656
29	z_j261_r3_k1	0.6095556962	-4.003323113e-22	-0.6095556962
30	z_j261_r3_k2	-0.01063261671	1.431930687e-10	0.01063261685
31	z_j308_r1_k1	0.6993230747	0	-0.6993230747
32	z_j308_r1_k2	-0.01422431297	0	0.01422431297
33	z_j308_r2_k1	0.637432857	0	-0.637432857
34	z_j308_r2_k2	-0.1650495467	0	0.1650495467
35	z_j308_r3_k1	0.4373067676	0	-0.4373067676
36	z_j308_r3_k2	2.342188881	0	-2.342188881
