trace_index	objective_value
1	86.56004204
2	79.30886076
3	78.96366248
4	78.46931753
5	77.9352661
6	77.39060109
7	76.88366544
8	76.43316145
9	76.0069662
10	75.6336853
11	75.37486338
12	75.20261292
13	75.07275807
14	74.96675402
15	74.87070481
16	74.78555874
17	74.71223506
18	74.64541846
19	74.58745405
20	74.53637515
21	74.49139781
22	74.45228903
23	74.41811518
24	74.38819356
25	74.36186148
26	74.33856757
27	74.31789386
28	74.29948596
29	74.28305777
30	74.26835837
31	74.25512867
32	74.24328133
33	74.23262408
34	74.2230834
35	74.21440509
36	74.20655023
37	74.1994248
38	74.19294888
39	74.18705022
40	74.1816667
41	74.17674048
42	74.17222097
43	74.16806381
44	74.16423105
