entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	map_turning_fraction	abs_error
1	1	J686	junction	54	1	139	168	1	1	0.09361418821	0.3333333333	0.2397191451
2	1	J686	junction	54	1	139	171	2	2	0.8485888076	0.3333333333	0.5152554743
3	1	J686	junction	54	1	139	173	3	3	0.0577970042	0.3333333333	0.2755363291
4	2	J686	junction	54	2	163	168	1	1	0.4909049022	0.3333333333	0.1575715689
5	2	J686	junction	54	2	163	171	2	2	0.2553048155	0.3333333333	0.07802851787
6	2	J686	junction	54	2	163	173	3	3	0.2537902823	0.3333333333	0.07954305101
7	3	J686	junction	54	3	180	168	1	1	0.5068835416	0.3333333333	0.1735502082
8	3	J686	junction	54	3	180	171	2	2	0.2399326074	0.3333333333	0.09340072597
9	3	J686	junction	54	3	180	173	3	3	0.2531838511	0.3333333333	0.08014948227
10	4	J168	junction	196	1	939	969	1	1	0.5007600539	0.3477864143	0.1529736396
11	4	J168	junction	196	1	939	971	2	2	0.2183178039	0.3477864143	0.1294686104
12	4	J168	junction	196	1	939	972	3	3	0.2809221422	0.3044271714	0.02350502922
13	5	J168	junction	196	2	957	969	1	1	0.120008088	0.3761032553	0.2560951672
14	5	J168	junction	196	2	957	971	2	2	0.7942807287	0.3761032553	0.4181774735
15	5	J168	junction	196	2	957	972	3	3	0.08571118326	0.2477934895	0.1620823062
16	6	J168	junction	196	3	986	969	1	1	0.4189197906	0.3617055908	0.05721419983
17	6	J168	junction	196	3	986	971	2	2	0.171321574	0.3617055908	0.1903840168
18	6	J168	junction	196	3	986	972	3	3	0.4097586354	0.2765888184	0.133169817
19	7	J245	junction	219	1	801	800	1	1	0.3612270427	0.3273654721	0.03386157057
20	7	J245	junction	219	1	801	806	2	2	0.1525558405	0.3381565946	0.1856007541
21	7	J245	junction	219	1	801	809	3	3	0.4862171168	0.3344779332	0.1517391835
22	8	J245	junction	219	2	807	800	1	1	0.1002509384	0.3273982034	0.227147265
23	8	J245	junction	219	2	807	806	2	2	0.7256465793	0.3381329425	0.3875136368
24	8	J245	junction	219	2	807	809	3	3	0.1741024823	0.3344688541	0.1603663718
25	9	J245	junction	219	3	808	800	1	1	0.2870969281	0.3268917979	0.03979486985
26	9	J245	junction	219	3	808	806	2	2	0.1421794519	0.3385399641	0.1963605122
27	9	J245	junction	219	3	808	809	3	3	0.57072362	0.334568238	0.236155382
28	10	J411	junction	258	1	565	570	1	1	0.3260774451	0.3333333333	0.007255888256
29	10	J411	junction	258	1	565	574	2	2	0.3542853025	0.3333333333	0.02095196918
30	10	J411	junction	258	1	565	575	3	3	0.3196372524	0.3333333333	0.01369608092
31	11	J411	junction	258	2	566	570	1	1	0.3326651788	0.3333333333	0.0006681544908
32	11	J411	junction	258	2	566	574	2	2	0.3894213042	0.3333333333	0.05608797083
33	11	J411	junction	258	2	566	575	3	3	0.277913517	0.3333333333	0.05541981634
34	12	J411	junction	258	3	576	570	1	1	0.08057718231	0.3333333333	0.252756151
35	12	J411	junction	258	3	576	574	2	2	0.09821284373	0.3333333333	0.2351204896
36	12	J411	junction	258	3	576	575	3	3	0.821209974	0.3333333333	0.4878766406
37	13	J416	junction	261	1	507	520	1	1	0.08585171273	0.3333333333	0.2474816206
38	13	J416	junction	261	1	507	533	2	2	0.8350226374	0.3333333334	0.501689304
39	13	J416	junction	261	1	507	535	3	3	0.0791256499	0.3333333333	0.2542076834
40	14	J416	junction	261	2	519	520	1	1	0.4424993428	0.3333333333	0.1091660095
41	14	J416	junction	261	2	519	533	2	2	0.2571829325	0.3333333334	0.07615040088
42	14	J416	junction	261	2	519	535	3	3	0.3003177247	0.3333333333	0.03301560858
43	15	J416	junction	261	3	543	520	1	1	0.4804376639	0.3333333333	0.1471043306
44	15	J416	junction	261	3	543	533	2	2	0.2584001043	0.3333333334	0.0749332291
45	15	J416	junction	261	3	543	535	3	3	0.2611622318	0.3333333333	0.07217110149
46	16	J635	junction	308	1	54	103	1	1	0.5033156413	0.3333333333	0.1699823079
47	16	J635	junction	308	1	54	104	2	2	0.2465759607	0.3333333333	0.08675737262
48	16	J635	junction	308	1	54	105	3	3	0.250108398	0.3333333333	0.0832249353
49	17	J635	junction	308	2	72	103	1	1	0.5058520174	0.3333333333	0.1725186841
50	17	J635	junction	308	2	72	104	2	2	0.2267304274	0.3333333333	0.106602906
51	17	J635	junction	308	2	72	105	3	3	0.2674175552	0.3333333333	0.06591577816
52	18	J635	junction	308	3	110	103	1	1	0.119554461	0.3333333333	0.2137788723
53	18	J635	junction	308	3	110	104	2	2	0.8032404603	0.3333333333	0.469907127
54	18	J635	junction	308	3	110	105	3	3	0.07720507866	0.3333333333	0.2561282547
55	19	J644	junction	339	1	224	52	1	1	0.2980140145	0.2205942892	0.07741972529
56	19	J644	junction	339	1	224	232	2	2	0.2435232537	0.3250061384	0.08148288477
57	19	J644	junction	339	1	224	235	3	3	0.1999885846	0.2136062933	0.01361770866
58	19	J644	junction	339	1	224	236	4	4	0.2584741473	0.2407932791	0.01768086815
59	20	J644	junction	339	2	225	52	1	1	0.2671144812	0.2494242808	0.01769020035
60	20	J644	junction	339	2	225	232	2	2	0.2218877051	0.260787477	0.0388997719
61	20	J644	junction	339	2	225	235	3	3	0.1900868157	0.2399886242	0.04990180856
62	20	J644	junction	339	2	225	236	4	4	0.320910998	0.2497996179	0.07111138011
63	21	J644	junction	339	3	227	52	1	1	0.2330589682	0.2494303696	0.0163714015
64	21	J644	junction	339	3	227	232	2	2	0.2048826143	0.2608463943	0.05596378
65	21	J644	junction	339	3	227	235	3	3	0.1893420201	0.2399234422	0.05058142214
66	21	J644	junction	339	3	227	236	4	4	0.3727163975	0.2497997938	0.1229166036
67	22	J246	junction	386	1	790	791	1	1	0.6753648945	0.5	0.1753648945
68	22	J246	junction	386	1	790	795	2	2	0.3246351055	0.5	0.1753648945
69	23	J641	junction	457	1	98	81	1	1	0.3326582023	0.5	0.1673417977
70	23	J641	junction	457	1	98	87	2	2	0.6673417977	0.5	0.1673417977
71	24	RB08	roundabout	475	1	1063	1047	1	1	0.1887377939	0.1867767791	0.001961014838
72	24	RB08	roundabout	475	1	1063	1049	2	2	0.2156502512	0.2803249171	0.06467466589
73	24	RB08	roundabout	475	1	1063	1052	3	3	0.2559292859	0.2803249171	0.0243956312
74	24	RB08	roundabout	475	1	1063	1056	4	4	0.339682669	0.2525733867	0.08710928226
75	25	RB10	roundabout	477	1	1012	1006	1	1	0.2756346244	0.3221638044	0.04652918001
76	25	RB10	roundabout	477	1	1012	1007	2	2	0.3325639456	0.3476908192	0.01512687358
77	25	RB10	roundabout	477	1	1012	1016	3	3	0.39180143	0.3301453764	0.06165605359
78	26	RB10	roundabout	477	2	1047	1006	1	1	0.3064235083	0.3185083149	0.01208480666
79	26	RB10	roundabout	477	2	1047	1007	2	2	0.3748266199	0.352537074	0.02228954585
80	26	RB10	roundabout	477	2	1047	1016	3	3	0.3187498719	0.328954611	0.0102047392
81	27	RB14	roundabout	481	1	1052	993	1	1	0.1370668986	0.06954652177	0.06752037686
82	27	RB14	roundabout	481	1	1052	994	2	2	0.1627160998	0.1921309375	0.02941483769
83	27	RB14	roundabout	481	1	1052	995	3	3	0.1859955473	0.1921309375	0.006135390228
84	27	RB14	roundabout	481	1	1052	996	4	4	0.2024412104	0.1921309375	0.01031027289
85	27	RB14	roundabout	481	1	1052	998	5	5	0.2083275524	0.1921309375	0.01619661492
86	27	RB14	roundabout	481	1	1052	1000	6	6	0.1034526915	0.1619297283	0.05847703674
87	28	RB18	roundabout	485	1	783	781	1	1	0.3714557218	0.3334265086	0.03802921329
88	28	RB18	roundabout	485	1	783	784	2	2	0.4123240887	0.3332168774	0.07910721131
89	28	RB18	roundabout	485	1	783	794	3	3	0.2162201895	0.3333566141	0.1171364246
90	29	RB18	roundabout	485	2	798	781	1	1	0.396902516	0.3334456461	0.06345686994
91	29	RB18	roundabout	485	2	798	784	2	2	0.4027341383	0.3331929613	0.06954117701
92	29	RB18	roundabout	485	2	798	794	3	3	0.2003633456	0.3333613926	0.1329980469
93	30	RB19	roundabout	486	1	777	797	1	1	0.6632352944	0.6704625812	0.007227286838
94	30	RB19	roundabout	486	1	777	798	2	2	0.3367647056	0.3295374188	0.007227286838
95	31	RB19	roundabout	486	2	799	797	1	1	0.6283055034	0.578274634	0.05003086938
96	31	RB19	roundabout	486	2	799	798	2	2	0.3716944966	0.421725366	0.05003086938
97	32	RB20	roundabout	487	1	768	771	1	1	0.2618012881	0.2	0.06180128815
98	32	RB20	roundabout	487	1	768	772	2	2	0.21502642	0.2	0.01502642
99	32	RB20	roundabout	487	1	768	775	3	3	0.1757039465	0.2	0.02429605354
100	32	RB20	roundabout	487	1	768	776	4	4	0.1452665893	0.2	0.05473341072
101	32	RB20	roundabout	487	1	768	777	5	5	0.2022017561	0.2	0.002201756111
102	33	RB23	roundabout	490	1	548	551	1	1	0.3462674085	0.3333333227	0.01293408581
103	33	RB23	roundabout	490	1	548	552	2	2	0.2844559279	0.3333333439	0.04887741594
104	33	RB23	roundabout	490	1	548	557	3	3	0.3692766635	0.3333333334	0.03594333013
105	34	RB23	roundabout	490	2	553	551	1	1	0.3021528261	0.3333333224	0.03118049627
106	34	RB23	roundabout	490	2	553	552	2	2	0.2590793295	0.3333333442	0.07425401464
107	34	RB23	roundabout	490	2	553	557	3	3	0.4387678443	0.3333333334	0.1054345109
108	35	RB24	roundabout	491	1	562	561	1	1	0.354151074	0.5	0.145848926
109	35	RB24	roundabout	491	1	562	564	2	2	0.645848926	0.5	0.145848926
110	36	RB24	roundabout	491	2	567	561	1	1	0.3321790666	0.5	0.1678209334
111	36	RB24	roundabout	491	2	567	564	2	2	0.6678209334	0.5	0.1678209334
112	37	RB28	roundabout	495	1	108	115	1	1	0.0597532262	0.25	0.1902467738
113	37	RB28	roundabout	495	1	108	116	2	2	0.06637418218	0.25	0.1836258178
114	37	RB28	roundabout	495	1	108	123	3	4	0.07712541654	0.25	0.1728745835
115	37	RB28	roundabout	495	1	108	130	4	5	0.7967471751	0.25	0.5467471751
116	38	RB28	roundabout	495	2	122	115	1	1	0.0684116138	0.25	0.1815883862
117	38	RB28	roundabout	495	2	122	116	2	2	0.0812487774	0.25	0.1687512226
118	38	RB28	roundabout	495	2	122	117	3	3	0.09876736801	0.25	0.151232632
119	38	RB28	roundabout	495	2	122	130	4	5	0.7515722408	0.25	0.5015722408
120	39	RB28	roundabout	495	3	125	115	1	1	0.1618176795	0.2	0.03818232054
121	39	RB28	roundabout	495	3	125	116	2	2	0.09897722401	0.2	0.101022776
122	39	RB28	roundabout	495	3	125	117	3	3	0.1206537795	0.2	0.07934622054
123	39	RB28	roundabout	495	3	125	123	4	4	0.1441552394	0.2	0.05584476059
124	39	RB28	roundabout	495	3	125	130	5	5	0.4743960777	0.2	0.2743960777
125	40	RB28	roundabout	495	4	151	115	1	1	0.1047798359	0.25	0.1452201641
126	40	RB28	roundabout	495	4	151	116	2	2	0.1263820033	0.25	0.1236179967
127	40	RB28	roundabout	495	4	151	117	3	3	0.1479954726	0.25	0.1020045274
128	40	RB28	roundabout	495	4	151	130	4	5	0.6208426882	0.25	0.3708426882
129	41	RB29	roundabout	496	1	130	151	1	1	0.4035299007	0.5	0.09647009932
130	41	RB29	roundabout	496	1	130	154	2	2	0.5964700993	0.5	0.09647009932
131	42	RB29	roundabout	496	2	149	151	1	1	0.8167737525	0.5	0.3167737525
132	42	RB29	roundabout	496	2	149	154	2	2	0.1832262475	0.5	0.3167737525
133	43	RB29	roundabout	496	3	155	151	1	1	0.8242018087	0.5	0.3242018087
134	43	RB29	roundabout	496	3	155	154	2	2	0.1757981913	0.5	0.3242018087
135	44	RB30	roundabout	497	1	93	101	1	1	0.3153225725	0.25	0.06532257248
136	44	RB30	roundabout	497	1	93	102	2	2	0.2770249858	0.25	0.02702498583
137	44	RB30	roundabout	497	1	93	106	3	3	0.2340617563	0.25	0.01593824367
138	44	RB30	roundabout	497	1	93	108	4	4	0.1735906854	0.25	0.07640931463
139	45	RB30	roundabout	497	2	117	101	1	1	0.3122290488	0.25	0.06222904881
140	45	RB30	roundabout	497	2	117	102	2	2	0.2592788299	0.25	0.009278829933
141	45	RB30	roundabout	497	2	117	106	3	3	0.2120829778	0.25	0.03791702218
142	45	RB30	roundabout	497	2	117	108	4	4	0.2164091434	0.25	0.03359085656
