quantity	value
horizon_seconds	180.0
observation_times_seconds	30.0 60.0 90.0 120.0 150.0 180.0
target_nodes	20
learned_rows	45
latent_parameters	97
sensor_roads	14
observations	84
forward_seconds	21.6810588
prior_scale	1.25
generated_peak_noise_sigma	0.08
sigma_floor_fraction	0.15
sigma_absolute_floor	0.001
esmda_covariance_inflation	1.02
esmda_status	skipped
lbfgs_maxiters	10000
lbfgs_time_limit_seconds	9600.0
lbfgs_initial_alpha	0.05
lbfgs_linesearch	backtracking
lbfgs_start_path	TrafficNetworks/thesis_experiments/E18/outputs/lbfgs_prior_mean_backtracking_180s/lbfgs_best_checkpoint.tsv
lbfgs_objective_seconds	17.8920646
lbfgs_gradient_seconds	207.8722448
lbfgs_optimize_seconds	9880.0052702
lbfgs_iterations	43
lbfgs_converged	false
lbfgs_initial_loss	86.56004204205219
lbfgs_final_loss	74.16423105496837
lbfgs_optimizer_minimum	74.16423105496837
lbfgs_best_checkpoint_loss	74.16423105496837
lbfgs_initial_gradient_norm	30.07365356023904
lbfgs_final_gradient_norm	1.4491592532745086
lbfgs_objective_evals	45
lbfgs_gradient_evals	45
lbfgs_turning_rmse	0.1735111015978153
lbfgs_turning_mae	0.12560983502030953
lbfgs_fit_rmse	0.0843158325646711
lbfgs_predictive_rmse	0.00503460565752845
