target_label	node_id	node_type	incoming_road_ids	outgoing_road_ids	degree_directed
RB08	RB08	roundabout	1063	1047 1049 1052 1056	5
RB10	RB10	roundabout	1012 1047	1006 1007 1016	5
RB14	RB14	roundabout	1052	993 994 995 996 998 1000	7
J168	452741	junction	939 957 986	969 971 972	6
RB18	RB18	roundabout	783 798	781 784 794	5
RB19	RB19	roundabout	777 799	797 798	4
RB20	RB20	roundabout	768	771 772 775 776 777	6
J245	453260	junction	801 807 808	800 806 809	6
J246	CN155	junction	790	791 795	3
RB23	RB23	roundabout	548 553	551 552 557	5
RB24	RB24	roundabout	562 567	561 564	4
J411	454372	junction	565 566 576	570 574 575	6
J416	454419	junction	507 519 543	520 533 535	6
RB28	RB28	roundabout	108 122 125 151	115 116 117 123 130	9
RB29	RB29	roundabout	130 149 155	151 154	5
RB30	RB30	roundabout	93 117	101 102 106 108	6
J686	2648102	junction	139 163 180	168 171 173	6
J635	457517	junction	54 72 110	103 104 105	6
J641	CN85	junction	98	81 87	3
J644	CN09	junction	224 225 227	52 232 235 236	7
