experiment_group	data_axis	run_seed	observation_seed	esmda_seed	compute_label	ensemble_size	esmda_iters	ensemble_forward_runs	mean_clip_fraction	max_clip_fraction	observed_road_count	sensors_per_observed_road	saved_times_per_scenario	total_saved_times	regime_label	scenario_count	horizon_factor	observation_count	observation_multiplier	method	budget_label	requested_budget	solve_seconds	iterations	turning_rmse	predictive_rmse	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	fit_rmse_noisy	normalized_fit_rmse_noisy	turning_ci90_coverage	turning_ci90_width_mean	turning_ci90_width_median
data_amount	horizon	1	1	100001	reference_192x6	192	6	1152	0	0	9	4	8	8	horizon_1x	1	1	288	1	esmda	reference_192x6	1152	12.0945054	6	0.1598864069	0.0162367177	0.04198789084	0.03241370268	0.04675201405	0.07153925341	1.169493261	0.890625	0.5569222261	0.586186934
data_amount	horizon	2	2	100002	reference_192x6	192	6	1152	0	0	9	4	8	8	horizon_1x	1	1	288	1	esmda	reference_192x6	1152	11.7354896	6	0.1452325138	0.01482615766	0.02978802649	0.02793440873	0.03083549604	0.06859766582	1.19415777	0.953125	0.5406939698	0.5585993883
data_amount	horizon	3	3	100003	reference_192x6	192	6	1152	0	0	9	4	8	8	horizon_1x	1	1	288	1	esmda	reference_192x6	1152	10.3227755	6	0.1508688015	0.01736420934	0.03481455827	0.03422284384	0.03516102998	0.06691527434	1.430232692	0.90625	0.5567567529	0.5702036008
data_amount	horizon	4	4	100004	reference_192x6	192	6	1152	0	0	9	4	8	8	horizon_1x	1	1	288	1	esmda	reference_192x6	1152	10.5424652	6	0.1518335252	0.01765223816	0.03879199309	0.0355368851	0.0406006674	0.06975227611	1.329128533	0.96875	0.5537979061	0.5705013596
data_amount	horizon	5	5	100005	reference_192x6	192	6	1152	0	0	9	4	8	8	horizon_1x	1	1	288	1	esmda	reference_192x6	1152	9.8141221	6	0.1618260192	0.01772341413	0.04038923062	0.02570418475	0.04698221052	0.06827426645	1.164714014	0.921875	0.5449445199	0.5591650906
data_amount	horizon	1	1	100001	reference_192x6	192	6	1152	0	0	9	4	16	16	horizon_2x	1	2	576	2	esmda	reference_192x6	1152	19.8351839	6	0.1703943239	0.02820943725	0.06353923137	0.03879350094	0.07443213429	0.07055874929	1.235044656	0.875	0.5021254668	0.5244577942
data_amount	horizon	2	2	100002	reference_192x6	192	6	1152	0	0	9	4	16	16	horizon_2x	1	2	576	2	esmda	reference_192x6	1152	19.3724503	6	0.184160881	0.03098681367	0.05035517243	0.04282177282	0.05433453257	0.07339410052	1.794058347	0.84375	0.4535073511	0.452796965
data_amount	horizon	3	3	100003	reference_192x6	192	6	1152	0	0	9	4	16	16	horizon_2x	1	2	576	2	esmda	reference_192x6	1152	20.1364629	6	0.1583299681	0.02997207819	0.0479128119	0.03636906128	0.05360099725	0.0720952009	1.428166459	0.921875	0.5144423708	0.5269746134
data_amount	horizon	4	4	100004	reference_192x6	192	6	1152	0	0	9	4	16	16	horizon_2x	1	2	576	2	esmda	reference_192x6	1152	21.9004506	6	0.1578263652	0.02128830803	0.05343287398	0.0335099984	0.06231450239	0.0682663243	1.264273881	0.90625	0.5001979276	0.4802567486
data_amount	horizon	5	5	100005	reference_192x6	192	6	1152	0	0	9	4	16	16	horizon_2x	1	2	576	2	esmda	reference_192x6	1152	19.623468	6	0.1626473017	0.05616413551	0.066153008	0.06038135886	0.06935169539	0.08554877732	1.505225532	0.921875	0.5139598054	0.5245836185
