experiment_group	data_axis	regime_label	compute_label	seed_count	seeds	scenario_count	horizon_factor	observation_count	observation_multiplier	observed_road_count	sensors_per_observed_road	saved_times_per_scenario	ensemble_size	esmda_iters	ensemble_forward_runs	mean_clip_fraction_max	max_clip_fraction_max	solve_seconds_mean	solve_seconds_min	solve_seconds_max	turning_rmse_mean	turning_rmse_min	turning_rmse_max	predictive_rmse_mean	predictive_rmse_min	predictive_rmse_max	fit_rmse_noisy_mean	fit_rmse_noisy_min	fit_rmse_noisy_max	normalized_fit_rmse_noisy_mean	normalized_fit_rmse_noisy_min	normalized_fit_rmse_noisy_max	final_state_rmse_all_mean	final_state_rmse_all_min	final_state_rmse_all_max	final_state_rmse_observed_mean	final_state_rmse_observed_min	final_state_rmse_observed_max	final_state_rmse_unobserved_mean	final_state_rmse_unobserved_min	final_state_rmse_unobserved_max	turning_ci90_coverage_mean	turning_ci90_coverage_min	turning_ci90_coverage_max	turning_ci90_width_mean_mean	turning_ci90_width_mean_min	turning_ci90_width_mean_max
compute_cost	compute	compute_1x	tiny_64x2	5	1,2,3,4,5	1	1	288	1	9	4	8	64	2	128	0	0	1.13508074	1.1236983	1.1491556	0.1643422628	0.1434849159	0.1737604891	0.01630962973	0.01406447265	0.02085907646	0.06924044154	0.06673859453	0.07082984179	1.261367603	1.160600721	1.426442334	0.03863201774	0.03310534122	0.04461418858	0.03176369404	0.02764243254	0.03540596442	0.04205562413	0.03595720937	0.05022967777	0.8625	0.78125	0.90625	0.489263543	0.483200272	0.4972056205
compute_cost	compute	compute_1x	small_128x4	5	1,2,3,4,5	1	1	288	1	9	4	8	128	4	512	0	0	4.4136964	4.3209738	4.6330921	0.1575561347	0.1472559362	0.1638174476	0.01527610288	0.01307548601	0.01623610028	0.06867656659	0.06684413498	0.0703848088	1.25197325	1.151462773	1.427676943	0.03603802411	0.02694113511	0.04019082167	0.02973581855	0.02403542562	0.0352500459	0.03906175533	0.02852604433	0.04609005125	0.909375	0.890625	0.9375	0.5286815939	0.5241062288	0.5385911507
compute_cost	compute	compute_1x	reference_192x6	5	1,2,3,4,5	1	1	288	1	9	4	8	192	6	1152	0	0	9.68977318	9.6476019	9.7307699	0.1539294533	0.1452325138	0.1618260192	0.0167605474	0.01482615766	0.01772341413	0.06901574723	0.06691527434	0.07153925341	1.257545254	1.164714014	1.430232692	0.03715433986	0.02978802649	0.04198789084	0.03116240502	0.02570418475	0.0355368851	0.0400662836	0.03083549604	0.04698221052	0.928125	0.890625	0.96875	0.5506230749	0.5406939698	0.5569222261
compute_cost	compute	compute_1x	more_iterations_192x12	5	1,2,3,4,5	1	1	288	1	9	4	8	192	12	2304	0	0	20.08194256	18.9054442	21.0285656	0.1545328834	0.1462885456	0.1619807084	0.01989970332	0.01674928227	0.02093466602	0.06993054539	0.06768852324	0.07321991815	1.273481773	1.181662802	1.440484242	0.03890924461	0.0314145203	0.04388890949	0.03383538274	0.02891743413	0.03720209019	0.04144177685	0.03215753802	0.0487853748	0.9375	0.90625	0.984375	0.5726601667	0.5656251104	0.579596271
compute_cost	compute	compute_1x	larger_ensemble_384x6	5	1,2,3,4,5	1	1	288	1	9	4	8	384	6	2304	0	0	20.17601304	19.5884643	20.6015619	0.1528649067	0.1474417025	0.1582637693	0.01762668963	0.01533433396	0.01908006343	0.06935293941	0.06743151241	0.07200315039	1.262215098	1.166277415	1.435721568	0.0379839325	0.03036032371	0.04063084716	0.03224280521	0.02585877046	0.03634382813	0.04082259008	0.03140892505	0.04726300195	0.93125	0.921875	0.953125	0.5648086364	0.5615505469	0.5711341861
compute_cost	compute	compute_12x_scenarios	tiny_64x2	5	1,2,3,4,5	12	1	3456	12	9	4	8	64	2	128	0.0008680555556	0.003472222222	14.77120674	14.2593086	15.258823	0.1914909517	0.1630774195	0.2129810332	0.01604254678	0.00907455543	0.03120984833	0.06346947117	0.06173238072	0.06806623575	1.50912516	1.265015005	2.023295053	0.03514810206	0.02306282956	0.04357146489	0.02371509762	0.01505394197	0.0400007712	0.04005085466	0.02662973125	0.05173607211	0.64375	0.53125	0.8125	0.3582417513	0.3395122507	0.3859533132
compute_cost	compute	compute_12x_scenarios	small_128x4	5	1,2,3,4,5	12	1	3456	12	9	4	8	128	4	512	0.0008680555556	0.003472222222	57.01092124	54.9215745	61.9303848	0.1686920358	0.1378110665	0.2074915222	0.01533004181	0.01063653418	0.02968789219	0.06312477197	0.0616684064	0.06723728697	1.495148026	1.253876142	2.008926465	0.0337452625	0.02520700671	0.04035595851	0.021391064	0.01584498702	0.03543742074	0.03878808321	0.02901790778	0.04940987791	0.803125	0.609375	0.921875	0.4237089122	0.4058620928	0.4375621813
compute_cost	compute	compute_12x_scenarios	reference_192x6	5	1,2,3,4,5	12	1	3456	12	9	4	8	192	6	1152	0.0008680555556	0.003472222222	126.9657235	121.4089738	142.8302749	0.1598555907	0.1315901976	0.1885734469	0.01645708947	0.01084563034	0.03332473698	0.06344809736	0.06162054058	0.0690161064	1.493737425	1.250237874	2.011093368	0.03584241537	0.02346989769	0.04277066976	0.0236040277	0.01697325393	0.03986622993	0.04102611034	0.02645626651	0.05107268464	0.8625	0.78125	0.921875	0.4539335053	0.4410729738	0.4621367322
compute_cost	compute	compute_12x_scenarios	more_iterations_192x12	5	1,2,3,4,5	12	1	3456	12	9	4	8	192	12	2304	0.0008680555556	0.003472222222	254.9733724	238.5606559	300.9497735	0.1633931569	0.131623415	0.1915870468	0.01815623728	0.01220477452	0.03480661988	0.0639057675	0.06179618372	0.06979888773	1.496098755	1.249499963	2.012222355	0.0378265863	0.02578516259	0.04625798893	0.02584900008	0.01952324032	0.04191675852	0.04299143954	0.02789407398	0.05010537866	0.875	0.828125	0.9375	0.4659314396	0.452825504	0.480170856
compute_cost	compute	compute_12x_scenarios	larger_ensemble_384x6	5	1,2,3,4,5	12	1	3456	12	9	4	8	384	6	2304	0.0008680555556	0.003472222222	245.6182022	231.6165102	274.5546529	0.1532363781	0.1352253053	0.1664425311	0.01726965689	0.01194753986	0.03189435698	0.0635016773	0.06173183447	0.06823868767	1.496941638	1.254674342	2.013707821	0.03414668592	0.02640334753	0.04026323124	0.02529505311	0.02061177731	0.03849737705	0.0380322604	0.02906655763	0.0468609016	0.89375	0.859375	0.921875	0.4790267055	0.4739434945	0.4956628452
