rank	variant_label	y_true	y_obs	sigma_true	sigma_model	flux_shape_obs	true_minus_obs	true_standardized_residual	true_loss_contribution	at_floor	global_index	scenario_index	scenario_label	local_index	road_id	road_role	sensor_position	sensor_cell	sensor_fraction	time_index	time_hour	time_min
1	hard_floor_0p03	0.2425337545	0.009939361138	0.05878756237	0.003148982476	0.03936228095	0.2325943933	73.86334954	2727.897202	false	2225	8	alternating_inlets	209	17	internal	1	2	0.125	5	0.02083333333	1.25
2	hard_floor_0p03	0.06503249297	0.003499846769	0.0194570457	0.0024	0.01395039137	0.0615326462	25.63860258	328.6689712	true	2888	11	upstream_loaded	8	2	incoming	4	17	0.9166666667	2	0.008333333333	0.5
3	hard_floor_0p03	0.05458920103	0.005196915357	0.01651495045	0.0024	0.02067962971	0.04939228567	20.58011903	211.7706496	true	2476	9	early_spike_then_clear	172	15	outgoing	4	17	0.9166666667	3	0.0125	0.75
4	hard_floor_0p03	0.2535584253	0.04456684918	0.06056529608	0.01362580644	0.1703225805	0.2089915761	15.33792345	117.6259478	false	3203	12	downstream_loaded_sparse	35	9	incoming	3	11	0.5833333333	1	0.004166666667	0.25
5	hard_floor_0p03	0.1390974377	0.0280322407	0.03831978898	0.008718858939	0.1089857367	0.111065197	12.73850143	81.1347093	false	1572	6	west_heavy	132	7	outgoing	4	17	0.9166666667	1	0.004166666667	0.25
6	hard_floor_0p03	0.1249060031	0.02998974686	0.03497743791	0.009308915821	0.1163614478	0.09491625622	10.19627399	51.9820016	false	1680	6	west_heavy	240	21	internal	4	13	0.8928571429	4	0.01666666667	1
7	hard_floor_0p03	0.1485669103	0.04458385232	0.04047833072	0.01363076238	0.1703845297	0.103983058	7.628557752	29.09744669	false	655	3	quiet_start_then_build	79	14	incoming	3	11	0.5833333333	4	0.01666666667	1
8	hard_floor_0p03	0.1065176995	0.03424543512	0.03045493734	0.01058325929	0.1322907412	0.07227226436	6.828923146	23.31709567	false	778	3	quiet_start_then_build	202	17	internal	2	5	0.375	3	0.0125	0.75
9	hard_floor_0p03	0.1361014732	0.04471840681	0.03762491591	0.01366997469	0.1708746836	0.09138306644	6.684947743	22.34426316	false	1842	7	east_heavy_late	114	4	outgoing	2	8	0.4166666667	5	0.02083333333	1.25
10	hard_floor_0p03	0.1185390679	0.03953543735	0.03343601834	0.01215116369	0.1518895462	0.07900363058	6.501733709	21.13627061	false	2671	10	late_surge_sparse_start	79	14	incoming	3	11	0.5833333333	4	0.01666666667	1
11	hard_floor_0p03	0.1631203399	0.05939942329	0.04368387027	0.01787876218	0.2234845272	0.1037209166	5.801347741	16.82781781	false	2158	8	alternating_inlets	142	7	outgoing	2	8	0.4166666667	4	0.01666666667	1
12	hard_floor_0p03	0.1567612044	0.05707426177	0.04229988134	0.01722137293	0.2152671617	0.09968694261	5.788559542	16.75371078	false	751	3	quiet_start_then_build	175	15	outgoing	3	11	0.5833333333	4	0.01666666667	1
13	hard_floor_0p03	0.1653560298	0.06124722251	0.04416429222	0.01839872008	0.229984001	0.1041088073	5.658480961	16.00920339	false	2802	10	late_surge_sparse_start	210	17	internal	2	5	0.375	5	0.02083333333	1.25
14	hard_floor_0p03	0.2251253071	0.08475031884	0.05582204903	0.02482166473	0.3102708092	0.1403749883	5.655341403	15.99144319	false	2222	8	alternating_inlets	206	17	internal	2	5	0.375	4	0.01666666667	1
15	hard_floor_0p03	0.1816433063	0.06871158271	0.04756768497	0.02047689636	0.2559612044	0.1129317235	5.515080097	15.20805424	false	2795	10	late_surge_sparse_start	203	17	internal	3	8	0.625	3	0.0125	0.75
16	hard_floor_0p03	0.2396085731	0.09232509317	0.05830281754	0.02681637451	0.3352046814	0.1472834799	5.492296503	15.08266044	false	1652	6	west_heavy	212	17	internal	4	11	0.875	5	0.02083333333	1.25
17	hard_floor_0p03	0.2025180289	0.07751650464	0.05168143261	0.02288246277	0.2860307846	0.1250015243	5.462765332	14.92090254	false	1099	4	north_heavy	235	21	internal	3	9	0.6071428571	3	0.0125	0.75
18	hard_floor_0p03	0.2200624941	0.08527587743	0.0549231977	0.02496124869	0.3120156086	0.1347866167	5.399834694	14.57910736	false	1356	5	south_heavy	204	17	internal	4	11	0.875	3	0.0125	0.75
19	hard_floor_0p03	0.06648645722	0.02499823602	0.01986112263	0.00779946375	0.09749329688	0.0414882212	5.319368424	14.14784022	false	653	3	quiet_start_then_build	77	14	incoming	1	2	0.08333333333	4	0.01666666667	1
20	hard_floor_0p03	0.4088572402	0.1720003038	0.07734175915	0.04557318377	0.5696647972	0.2368569364	5.197287458	13.50589846	false	53	1	balanced_reference	53	9	incoming	1	2	0.08333333333	6	0.025	1.5
21	hard_floor_0p03	0.4882956889	0.212224445	0.07995616291	0.05349927359	0.6687409199	0.2760712439	5.160280232	13.31424603	false	2453	9	early_spike_then_clear	149	7	outgoing	1	2	0.08333333333	6	0.025	1.5
22	hard_floor_0p03	0.1619682176	0.0638850556	0.0434350445	0.01913720169	0.2392150211	0.09808316196	5.125261445	13.13415244	false	2799	10	late_surge_sparse_start	207	17	internal	3	8	0.625	4	0.01666666667	1
23	hard_floor_0p03	0.196232765	0.07906604486	0.05047214943	0.02330067373	0.2912584217	0.1171667202	5.028469199	12.64275124	false	2770	10	late_surge_sparse_start	178	15	outgoing	2	8	0.4166666667	5	0.02083333333	1.25
24	hard_floor_0p03	0.1031180458	0.04060759457	0.02959510861	0.01246675771	0.1558344713	0.06251045121	5.014170699	12.5709539	false	838	3	quiet_start_then_build	262	24	internal	2	5	0.375	2	0.008333333333	0.5
25	hard_floor_0p03	0.05184070776	0.02025711357	0.01572903961	0.006350964136	0.0793870517	0.03158359418	4.973039291	12.36555989	false	3198	12	downstream_loaded_sparse	30	2	incoming	2	8	0.4166666667	8	0.03333333333	2
26	hard_floor_0p03	0.1	0.04011550032	0.0288	0.01232199902	0.1540249878	0.05988449968	4.859966274	11.80963609	false	1282	5	south_heavy	130	7	outgoing	2	8	0.4166666667	1	0.004166666667	0.25
27	hard_floor_0p03	0.0954180627	0.03824230222	0.02762030592	0.01176954513	0.1471193142	0.05717576048	4.857941392	11.79979729	false	630	3	quiet_start_then_build	54	9	incoming	2	8	0.4166666667	6	0.025	1.5
28	hard_floor_0p03	0.2469705774	0.1037188393	0.05951235561	0.02974759734	0.3718449667	0.1432517381	4.815573387	11.59487352	false	1145	4	north_heavy	281	24	internal	1	2	0.125	7	0.02916666667	1.75
29	hard_floor_0p03	0.2899314417	0.1248164527	0.06587878426	0.03495593786	0.4369492233	0.165114989	4.723517638	11.15580944	false	2034	8	alternating_inlets	18	2	incoming	2	8	0.4166666667	5	0.02083333333	1.25
30	hard_floor_0p03	0.5044949362	0.2381933413	0.07999353458	0.05806632751	0.7258290939	0.2663015949	4.586162176	10.51644175	false	1701	6	west_heavy	261	24	internal	1	2	0.125	2	0.008333333333	0.5
31	hard_floor_0p03	0.2078952746	0.08947067797	0.0526959454	0.02606901624	0.325862703	0.1184245966	4.542733623	10.31821438	false	2814	10	late_surge_sparse_start	222	17	internal	2	5	0.375	8	0.03333333333	2
32	hard_floor_0p03	0.1540271413	0.06548126758	0.04169688993	0.01958191078	0.2447738847	0.08854587368	4.521819893	10.22342757	false	3426	12	downstream_loaded_sparse	258	24	internal	2	5	0.375	1	0.004166666667	0.25
33	hard_floor_0p03	0.3804463502	0.1737364971	0.07542621594	0.04593668054	0.5742085068	0.206709853	4.499886596	10.12448969	false	1012	4	north_heavy	148	7	outgoing	4	17	0.9166666667	5	0.02083333333	1.25
34	hard_floor_0p03	0.3437338653	0.1568970073	0.07218588645	0.04232970765	0.5291213457	0.186836858	4.413847115	9.741023179	false	1799	7	east_heavy_late	71	14	incoming	3	11	0.5833333333	2	0.008333333333	0.5
35	hard_floor_0p03	0.2632402125	0.1182021315	0.06206233696	0.03335372403	0.4169215504	0.145038081	4.348482371	9.454649466	false	1214	5	south_heavy	62	9	incoming	2	8	0.4166666667	8	0.03333333333	2
36	hard_floor_0p03	0.3184907746	0.1459912944	0.06945740835	0.03989690763	0.4987113454	0.1724994802	4.323630339	9.346889653	false	439	2	heavy_from_start	151	7	outgoing	3	11	0.5833333333	6	0.025	1.5
