group_kind	group_label	entry_count	large_error_count	ci_miss_count	no_downstream_observation_count	mean_abs_error	median_abs_error	max_abs_error	mean_ci_width	mean_normalized_sensitivity	median_normalized_sensitivity	finite_downstream_distance_mean
direct_observation	neither directly observed	24	3	4	12	0.1737960771	0.1788592004	0.4673630805	0.5208754313	0.7310426989	0.449238812	1.25
direct_observation	source observed	16	1	3	8	0.1500051907	0.1254141502	0.3703574169	0.5341179722	0.7853213128	0.5608883613	1.125
direct_observation	source+target observed	8	0	3	0	0.1331175216	0.1273865162	0.2897527053	0.3410943571	1.220234798	1.008809575	0
direct_observation	target observed	16	3	4	0	0.1475536169	0.1051263045	0.4459113665	0.3498238659	1.209822011	0.9497566135	0
downstream_observation	no downstream observed road	20	3	3	20	0.1861209437	0.1788592004	0.4673630805	0.5840157159	0.3862197851	0.4021234679	NaN
downstream_observation	observed after 1 turn	16	1	2	0	0.1363080067	0.1015871537	0.3480934246	0.4909744757	0.7643790027	0.7074486082	1
downstream_observation	observed after 2 turns	4	0	2	0	0.1669604795	0.1760005128	0.2880993178	0.3777479942	2.538926508	2.321101171	2
downstream_observation	target observed	24	3	7	0	0.1427415851	0.1051263045	0.4459113665	0.3469140296	1.21329294	0.9917933577	0
incoming_role	incoming	32	6	9	10	0.1810045292	0.1633493092	0.4673630805	0.4576690799	1.073837648	0.9050082227	0.5454545455
incoming_role	internal	32	1	5	10	0.1314013128	0.1166921482	0.3104486889	0.4602320019	0.7770747374	0.6621030816	0.5454545455
outgoing_role	internal	32	3	9	0	0.1456226847	0.1071016077	0.4459113665	0.3888010975	1.294439487	1.125876921	0.75
outgoing_role	outgoing	32	4	5	20	0.1667831572	0.1585230617	0.4673630805	0.5290999843	0.5564728992	0.5608883613	0
junction	J1 (top-left)	16	4	8	4	0.2082804383	0.1636893182	0.4673630805	0.4204145016	1.643617243	1.397974993	0.6666666667
junction	J2 (top-right)	16	1	2	4	0.1377862175	0.1112436141	0.3211453431	0.4618223463	0.5809432722	0.4964251164	0.3333333333
junction	J3 (bottom-left)	16	1	3	8	0.1449498936	0.1127739512	0.3369490874	0.5208582633	0.4842145231	0.3894365419	1
junction	J4 (bottom-right)	16	1	1	4	0.1337951346	0.114605679	0.3480934246	0.4327070525	0.9930497326	1.001899741	0.3333333333
