global_entry	entry_label	junction	junction_label	incoming_row	outgoing_col	source_road	target_road	incoming_road	outgoing_road	source_role	target_role	incoming_role	outgoing_role	source_observed	target_observed	incoming_observed	outgoing_observed	direct_observed_count	direct_observation_class	target_observation_distance	downstream_observation_class	truth	posterior_mean	posterior_median	posterior_q1	posterior_q3	ci05	ci95	ci_width	covered_by_ci90	signed_error	abs_error	normalized_ci_gap	large_error	source_mean_density	source_density_span	source_density_std	target_mean_density	target_density_span	target_density_std	raw_sensitivity	normalized_sensitivity	max_abs_normalized_sensitivity
1	J1 P11	1	J1 (top-left)	1	1	1	3	1	3	incoming	outgoing	incoming	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.1	0.5673630805	0.5794679723	0.4207759315	0.7284031573	0.2102831205	0.9028224063	0.6925392857	false	0.4673630805	0.4673630805	0.1592445697	true	0.2969031266	0.7645069381	0.1788338842	0.2799844599	0.7394210307	0.1468964243	0.02351608616	0.6404165959	30.59765721
2	J1 P12	1	J1 (top-left)	1	2	1	4	1	4	incoming	outgoing	incoming	outgoing	false	true	false	true	1	target observed	0	target observed	0.12	0.2079117386	0.1889612745	0.09043450412	0.3156195478	0.02580916332	0.4822291288	0.4564199655	true	0.0879117386	0.0879117386	0	false	0.2969031266	0.7645069381	0.1788338842	0.2935397334	0.7397657678	0.1476314651	0.05784724235	1.060299664	31.29305855
3	J1 P13	1	J1 (top-left)	1	3	1	17	1	17	incoming	internal	incoming	internal	false	true	false	true	1	target observed	0	target observed	0.5	0.05408863353	0.04145836082	0.02119576216	0.07613779352	0.007244408789	0.1526947764	0.1454503676	false	-0.4459113665	0.4459113665	2.387791997	true	0.2969031266	0.7645069381	0.1788338842	0.3022673095	0.6671447152	0.1513611044	0.09580202465	3.316483305	171.3484508
4	J1 P14	1	J1 (top-left)	1	4	1	19	1	19	incoming	internal	incoming	internal	false	false	false	false	0	neither directly observed	2	observed after 2 turns	0.28	0.1706365474	0.1622679725	0.1048768326	0.2242386957	0.03310370876	0.3215013028	0.288397594	true	-0.1093634526	0.1093634526	0	false	0.2969031266	0.7645069381	0.1788338842	0.3189424537	0.6984851818	0.1548419768	0.1117870752	3.59601936	182.4346074
5	J1 P21	1	J1 (top-left)	2	1	2	3	2	3	incoming	outgoing	incoming	outgoing	true	false	true	false	1	source observed	Inf	no downstream observed road	0.08	0.4503574169	0.4508450892	0.2724026029	0.6354133948	0.103537291	0.8229322417	0.7193949507	false	0.3703574169	0.3703574169	0.03271817656	true	0.2989501245	0.7675939755	0.1773378387	0.2799844599	0.7394210307	0.1468964243	0.02367424357	0.5571299894	25.2842886
6	J1 P22	1	J1 (top-left)	2	2	2	4	2	4	incoming	outgoing	incoming	outgoing	true	true	true	true	2	source+target observed	0	target observed	0.18	0.2662574667	0.2154747757	0.1122490686	0.412613339	0.0427976795	0.6099669257	0.5671692462	true	0.0862574667	0.0862574667	0	false	0.2989501245	0.7675939755	0.1773378387	0.2935397334	0.7397657678	0.1476314651	0.0556650687	0.9987031916	28.36774056
7	J1 P23	1	J1 (top-left)	2	3	2	17	2	17	incoming	internal	incoming	internal	true	true	true	true	2	source+target observed	0	target observed	0.22	0.05148443425	0.03991934334	0.02188361067	0.06871913385	0.007769893423	0.1410606349	0.1332907415	false	-0.1685155657	0.1685155657	0.5922344206	false	0.2989501245	0.7675939755	0.1773378387	0.3022673095	0.6671447152	0.1513611044	0.08145852107	2.823026745	145.9369209
8	J1 P24	1	J1 (top-left)	2	4	2	19	2	19	incoming	internal	incoming	internal	true	false	true	false	1	source observed	2	observed after 2 turns	0.52	0.2319006822	0.2207870035	0.1377707334	0.314766025	0.06897195316	0.4793755652	0.4104036121	false	-0.2880993178	0.2880993178	0.09898654294	false	0.2989501245	0.7675939755	0.1773378387	0.3189424537	0.6984851818	0.1548419768	0.08184754369	2.497178565	124.5624888
9	J1 P31	1	J1 (top-left)	3	1	18	3	18	3	internal	outgoing	internal	outgoing	false	false	false	false	0	neither directly observed	Inf	no downstream observed road	0.42	0.2611369294	0.2565182501	0.1308921172	0.3477850836	0.04162374365	0.5512605072	0.5096367635	true	-0.1588630706	0.1588630706	0	false	0.3172558361	0.6814292926	0.1541306353	0.2799844599	0.7394210307	0.1468964243	0.02234390677	0.5796879251	27.76540775
10	J1 P32	1	J1 (top-left)	3	2	18	4	18	4	internal	outgoing	internal	outgoing	false	true	false	true	1	target observed	0	target observed	0.24	0.3253647372	0.3164313997	0.2209204535	0.4350251995	0.08726438366	0.5850350799	0.4977706962	true	0.08536473719	0.08536473719	0	false	0.3172558361	0.6814292926	0.1541306353	0.2935397334	0.7397657678	0.1476314651	0.05056206112	0.8765379999	21.18938843
