row_label	junction	incoming_row	source_road	source_observed	observed_target_cols	row_tv_error	max_abs_entry_error	dominant_true_col	dominant_posterior_col	largest_under_col	largest_over_col	post_fit_normalized_rmse	swap_fit_normalized_rmse	truth_fit_normalized_rmse	fit_normalized_improvement	post_truth_rmse	swap_truth_rmse	truth_rmse_improvement	swap_visibility_normalized	improvement_per_tv_error	best_truth_improvement_observed_road	best_truth_improvement_road_role	best_truth_road_improvement	best_fit_improvement_observed_road	best_fit_improvement_road_role	best_fit_road_improvement
J1 row 1	1	1	1	false	2,3	0.5552748191	0.4673630805	3	1	3	1	1.485104668	1.769150633	1.865628214	-0.2840459651	0.03276594979	0.01186141418	0.02090453561	0.9103989358	0.03764718819	17	internal	0.0762495387	15	outgoing	0.004286302164
J1 row 2	1	2	2	true	2,3	0.4566148836	0.3703574169	4	1	4	1	1.485104668	1.502066221	1.865628214	-0.01696155385	0.03276594979	0.02756365578	0.005202294013	0.2003011603	0.01139317661	17	internal	0.017096059	24	internal	0.002941306967
J1 row 3	1	3	18	false	2,3	0.1866046451	0.1588630706	1	2	1	3	1.485104668	1.49545672	1.865628214	-0.01035205282	0.03276594979	0.03815585725	-0.005389907458	0.1914562852	-0.02888410122	15	outgoing	3.565925505e-05	7	outgoing	-0.0002349716587
J1 row 4	1	4	20	false	2,3	0.4677491586	0.3104486889	2	1	2	4	1.485104668	1.521380398	1.865628214	-0.03627573065	0.03276594979	0.02820089134	0.004565058454	0.3029619136	0.009759629431	17	internal	0.02060490123	2	incoming	0.003427722057
J2 row 1	2	1	5	false	1,4	0.3211453431	0.3211453431	4	1	4	1	1.485104668	1.503424132	1.865628214	-0.018319464	0.03276594979	0.0370481493	-0.004282199512	0.2949900189	-0.01333414793	2	incoming	2.227247364e-08	9	incoming	1.811856265e-08
J2 row 2	2	2	6	false	1,4	0.3036773312	0.2856139223	3	4	3	2	1.485104668	1.485029367	1.865628214	7.530024122e-05	0.03276594979	0.03322390302	-0.0004579532253	0.07942997359	-0.001508025718	7	outgoing	0.0007618424021	17	internal	0.002107990086
J2 row 3	2	3	17	true	1,4	0.2897527053	0.2897527053	1	4	1	3	1.485104668	1.493350606	1.865628214	-0.008245938319	0.03276594979	0.0335364772	-0.0007705274097	0.1458583817	-0.002659258725	17	internal	0.0002255532076	21	internal	0.004329863614
J2 row 4	2	4	22	false	1,4	0.1877143606	0.1819295886	2	3	2	1	1.485104668	1.486236749	1.865628214	-0.001132080952	0.03276594979	0.03321955171	-0.0004536019179	0.05089434526	-0.00241644761	4	outgoing	8.124822039e-10	7	outgoing	0.002525521055
J3 row 1	3	1	9	true		0.284332013	0.284332013	3	1	3	1	1.485104668	1.502950895	1.865628214	-0.01784622775	0.03276594979	0.03579585138	-0.00302990159	0.2799465334	-0.01065620982	2	incoming	0	15	outgoing	1.823848727e-06
J3 row 2	3	2	10	false		0.3704170558	0.3369490874	4	1	4	1	1.485104668	1.484026574	1.865628214	0.001078093257	0.03276594979	0.03247373624	0.000292213547	0.04558688434	0.0007888771383	9	incoming	0.004702624743	24	internal	0.01358742084
J3 row 3	3	3	19	false		0.2887670253	0.2755011246	1	3	1	3	1.485104668	1.484106897	1.865628214	0.0009977710702	0.03276594979	0.03243632615	0.000329623645	0.06736372729	0.001141486444	9	incoming	0.006710734654	24	internal	0.01595897719
J3 row 4	3	4	24	true		0.2160830544	0.2160830544	2	3	2	4	1.485104668	1.490386813	1.865628214	-0.005282145405	0.03276594979	0.03388690436	-0.001120954572	0.07828209109	-0.005187609806	2	incoming	0	15	outgoing	4.616639051e-07
J4 row 1	4	1	13	false	1,4	0.3480934246	0.3480934246	3	2	3	2	1.485104668	1.492780285	1.865628214	-0.007675617853	0.03276594979	0.0354998659	-0.002733916111	0.3214551385	-0.007853972291	21	internal	0.001193376876	14	incoming	0.01882339581
J4 row 2	4	2	14	true	1,4	0.2565175974	0.1890591912	4	4	4	2	1.485104668	1.503709431	1.865628214	-0.01860476328	0.03276594979	0.03463456105	-0.001868611257	0.1927081714	-0.007284534377	21	internal	0.002508725965	14	incoming	0.008794718595
J4 row 3	4	3	21	true	1,4	0.2292113581	0.1897346644	1	2	1	2	1.485104668	1.499689804	1.865628214	-0.01458513626	0.03276594979	0.03427880697	-0.001512857176	0.1290842485	-0.00660027142	7	outgoing	5.578783963e-14	2	incoming	0
J4 row 4	4	4	23	false	1,4	0.2365386967	0.1757888122	2	1	2	1	1.485104668	1.484936284	1.865628214	0.0001683831064	0.03276594979	0.03384375001	-0.001077800223	0.2372087275	-0.004556549259	14	incoming	0.01256142636	14	incoming	0.033651419
