row_label	junction	incoming_row	source_road	source_observed	row_tv_error	variant_label	variant_kind	floor_fraction	post_fit_normalized_rmse	swap_fit_normalized_rmse	truth_fit_normalized_rmse	fit_normalized_improvement	post_mean_loss	swap_mean_loss	truth_mean_loss	mean_loss_improvement	swap_improves_noisy_rmse	swap_improves_noisy_loss
J1 row 1	1	1	1	false	0.5552748191	hard_floor_0p03	hard_floor	0.03	1.485104668	1.769150633	1.865628214	-0.2840459651	1.102767937	1.564946981	1.740284317	-0.4621790438	false	false
J1 row 2	1	2	2	true	0.4566148836	hard_floor_0p03	hard_floor	0.03	1.485104668	1.502066221	1.865628214	-0.01696155385	1.102767937	1.128101467	1.740284317	-0.02533352995	false	false
J1 row 3	1	3	18	false	0.1866046451	hard_floor_0p03	hard_floor	0.03	1.485104668	1.49545672	1.865628214	-0.01035205282	1.102767937	1.118195401	1.740284317	-0.01542746446	false	false
J1 row 4	1	4	20	false	0.4677491586	hard_floor_0p03	hard_floor	0.03	1.485104668	1.521380398	1.865628214	-0.03627573065	1.102767937	1.157299158	1.740284317	-0.05453122123	false	false
J2 row 1	2	1	5	false	0.3211453431	hard_floor_0p03	hard_floor	0.03	1.485104668	1.503424132	1.865628214	-0.018319464	1.102767937	1.13014206	1.740284317	-0.02737412287	false	false
J2 row 2	2	2	6	false	0.3036773312	hard_floor_0p03	hard_floor	0.03	1.485104668	1.485029367	1.865628214	7.530024122e-05	1.102767937	1.102656111	1.740284317	0.0001118259046	true	true
J2 row 3	2	3	17	true	0.2897527053	hard_floor_0p03	hard_floor	0.03	1.485104668	1.493350606	1.865628214	-0.008245938319	1.102767937	1.115048016	1.740284317	-0.01228007924	false	false
J2 row 4	2	4	22	false	0.1877143606	hard_floor_0p03	hard_floor	0.03	1.485104668	1.486236749	1.865628214	-0.001132080952	1.102767937	1.104449836	1.740284317	-0.00168189951	false	false
J3 row 1	3	1	9	true	0.284332013	hard_floor_0p03	hard_floor	0.03	1.485104668	1.502950895	1.865628214	-0.01784622775	1.102767937	1.129430697	1.740284317	-0.02666276006	false	false
J3 row 2	3	2	10	false	0.3704170558	hard_floor_0p03	hard_floor	0.03	1.485104668	1.484026574	1.865628214	0.001078093257	1.102767937	1.101167437	1.740284317	0.001600500186	true	true
J3 row 3	3	3	19	false	0.2887670253	hard_floor_0p03	hard_floor	0.03	1.485104668	1.484106897	1.865628214	0.0009977710702	1.102767937	1.10128664	1.740284317	0.0014812967	true	true
J3 row 4	3	4	24	true	0.2160830544	hard_floor_0p03	hard_floor	0.03	1.485104668	1.490386813	1.865628214	-0.005282145405	1.102767937	1.110626426	1.740284317	-0.007858489326	false	false
J4 row 1	4	1	13	false	0.3480934246	hard_floor_0p03	hard_floor	0.03	1.485104668	1.492780285	1.865628214	-0.007675617853	1.102767937	1.11419649	1.740284317	-0.01142855346	false	false
J4 row 2	4	2	14	true	0.2565175974	hard_floor_0p03	hard_floor	0.03	1.485104668	1.503709431	1.865628214	-0.01860476328	1.102767937	1.130571026	1.740284317	-0.0278030894	false	false
J4 row 3	4	3	21	true	0.2292113581	hard_floor_0p03	hard_floor	0.03	1.485104668	1.499689804	1.865628214	-0.01458513626	1.102767937	1.124534754	1.740284317	-0.02176681704	false	false
J4 row 4	4	4	23	false	0.2365386967	hard_floor_0p03	hard_floor	0.03	1.485104668	1.484936284	1.865628214	0.0001683831064	1.102767937	1.102517885	1.740284317	0.0002500523608	true	true
J1 row 1	1	1	1	false	0.5552748191	hard_floor_0p05	hard_floor	0.05	1.402328119	1.57079246	1.637111875	-0.1684643403	0.9832620772	1.233694476	1.340067646	-0.2504323985	false	false
J1 row 2	1	2	2	true	0.4566148836	hard_floor_0p05	hard_floor	0.05	1.402328119	1.403156726	1.637111875	-0.0008286062914	0.9832620772	0.9844243984	1.340067646	-0.001162321196	false	false
J1 row 3	1	3	18	false	0.1866046451	hard_floor_0p05	hard_floor	0.05	1.402328119	1.421980193	1.637111875	-0.01965207356	0.9832620772	1.011013835	1.340067646	-0.02775175736	false	false
J1 row 4	1	4	20	false	0.4677491586	hard_floor_0p05	hard_floor	0.05	1.402328119	1.418250537	1.637111875	-0.0159224174	0.9832620772	1.005717293	1.340067646	-0.02245521534	false	false
