seed	method	method_label	budget_seconds	adam_warmup_seconds	lbfgs_seconds	learning_rate	grad_clip	solve_seconds	iterations	best_loss	fit_rmse	predictive_rmse	turning_rmse	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved
1	adam_300s_tuned	ADAM 300s tuned	300.00000000	0.00000000	0.00000000	0.08000000	300.00000000	300.14400005	1054	524.02207825	0.00189697	0.00161789	0.10403273	0.06197428	0.00644626	0.07823276
1	lbfgs_300s	L-BFGS 300s	300.00000000	0.00000000	300.00000000	NaN	NaN	300.44099998	355	173.56812613	0.00107580	0.00049362	0.10278919	0.06189754	0.00369624	0.07824252
1	hybrid_300s	ADAM 30s + L-BFGS 270s	300.00000000	30.00000000	270.00000000	0.08000000	300.00000000	300.87599993	399	171.94647282	0.00107028	0.00048299	0.10122281	0.06615166	0.00352725	0.08363135
2	adam_300s_tuned	ADAM 300s tuned	300.00000000	0.00000000	0.00000000	0.08000000	300.00000000	300.32400012	1039	864.36613980	0.00244348	0.00231311	0.10709907	0.05871271	0.00522621	0.07415594
2	lbfgs_300s	L-BFGS 300s	300.00000000	0.00000000	300.00000000	NaN	NaN	300.37300014	354	152.04854268	0.00100544	0.00047786	0.10251766	0.07166051	0.00364769	0.09060012
2	hybrid_300s	ADAM 30s + L-BFGS 270s	300.00000000	30.00000000	270.00000000	0.08000000	300.00000000	300.41500020	428	147.70998769	0.00098974	0.00046682	0.09835724	0.06669026	0.00323592	0.08432000
3	adam_300s_tuned	ADAM 300s tuned	300.00000000	0.00000000	0.00000000	0.08000000	300.00000000	300.15599990	1038	818.78205231	0.00237804	0.00212998	0.10888709	0.05972652	0.00609553	0.07540105
3	lbfgs_300s	L-BFGS 300s	300.00000000	0.00000000	300.00000000	NaN	NaN	300.50499988	345	157.64852843	0.00102492	0.00046894	0.10550842	0.07203914	0.00353799	0.09108188
3	hybrid_300s	ADAM 30s + L-BFGS 270s	300.00000000	30.00000000	270.00000000	0.08000000	300.00000000	301.20099998	417	158.34738088	0.00102745	0.00046955	0.10275410	0.06519998	0.00365667	0.08242353
4	adam_300s_tuned	ADAM 300s tuned	300.00000000	0.00000000	0.00000000	0.08000000	300.00000000	300.31699991	1017	829.87284643	0.00239360	0.00225726	0.10650909	0.06286419	0.00587589	0.07938725
4	lbfgs_300s	L-BFGS 300s	300.00000000	0.00000000	300.00000000	NaN	NaN	300.23500013	349	159.12709055	0.00102884	0.00052096	0.10502885	0.06438321	0.00226712	0.08142010
4	hybrid_300s	ADAM 30s + L-BFGS 270s	300.00000000	30.00000000	270.00000000	0.08000000	300.00000000	300.89700007	419	157.68309481	0.00102368	0.00052744	0.10328887	0.06767487	0.00229986	0.08558415
5	adam_300s_tuned	ADAM 300s tuned	300.00000000	0.00000000	0.00000000	0.08000000	300.00000000	300.38999987	1033	683.10574007	0.00217028	0.00202713	0.10515274	0.06048701	0.00733695	0.07629932
5	lbfgs_300s	L-BFGS 300s	300.00000000	0.00000000	300.00000000	NaN	NaN	300.18700004	364	152.86806247	0.00100793	0.00047848	0.10299479	0.06883416	0.00421944	0.08700773
5	hybrid_300s	ADAM 30s + L-BFGS 270s	300.00000000	30.00000000	270.00000000	0.08000000	300.00000000	300.35599995	446	153.62684187	0.00100969	0.00048781	0.10015794	0.06799736	0.00420102	0.08594903
