density	noise_sigma	seed_count	turning_coverage_mean	turning_coverage_min	turning_coverage_max	predictive_coverage_mean	predictive_coverage_min	predictive_coverage_max	final_state_unobserved_coverage_mean	final_state_unobserved_coverage_min	final_state_unobserved_coverage_max
dense	0.01	3	0.6197916667	0.59375	0.65625	0.9177276235	0.78125	0.9904513889	0.8397696477	0.5589430894	0.9915311653
dense	0.08	3	0.8802083333	0.875	0.890625	0.8316936728	0.6160300926	0.974537037	0.6830397471	0.4054878049	0.929200542
dense	0.2	3	0.609375	0.5	0.703125	0.2499035494	0.2248263889	0.2896412037	0.1855239386	0.168699187	0.1978319783
dense	0.4	3	0.5677083333	0.5	0.625	0.3527199074	0.2905092593	0.4615162037	0.22233514	0.1673441734	0.2909891599
sparse	0.01	3	0.9427083333	0.9375	0.953125	0.6763117284	0.65625	0.6921296296	0.5972222222	0.5853658537	0.608401084
sparse	0.08	3	0.9375	0.9375	0.9375	0.6111111111	0.5555555556	0.6886574074	0.5610885275	0.5152439024	0.597899729
sparse	0.2	3	0.9010416667	0.859375	0.921875	0.3310185185	0.2152777778	0.3946759259	0.3271228546	0.2503387534	0.3692411924
sparse	0.4	3	0.9166666667	0.90625	0.921875	0.2469135802	0.2337962963	0.2662037037	0.2799232159	0.2588075881	0.3014905149
minimal	0.01	3	0.9427083333	0.9375	0.953125	0.8559027778	0.8333333333	0.875	0.5871074879	0.5765398551	0.5957880435
minimal	0.08	3	0.9375	0.9375	0.9375	0.5399305556	0.5	0.59375	0.4402173913	0.4159873188	0.4612771739
minimal	0.2	3	0.9010416667	0.890625	0.921875	0.1927083333	0.1770833333	0.203125	0.2503019323	0.2250905797	0.2762681159
minimal	0.4	3	0.8854166667	0.859375	0.921875	0.1736111111	0.1666666667	0.1770833333	0.2494716183	0.2287137681	0.2708333333
