density	noise_sigma	noise_seed	scenario_count	observation_count	observation_multiplier	floor_fraction	ensemble_size	esmda_maxiters	esmda_solve_seconds	diagnostics_seconds	turning_rmse	turning_interval_coverage	turning_interval_width_mean	turning_interval_width_max	predictive_rmse_mean_parameter	predictive_rmse_ensemble_mean	predictive_interval_coverage	predictive_interval_width_mean	predictive_interval_width_max	final_state_rmse_mean_parameter_all	final_state_rmse_mean_parameter_observed	final_state_rmse_mean_parameter_unobserved	final_state_rmse_ensemble_mean_all	final_state_rmse_ensemble_mean_observed	final_state_rmse_ensemble_mean_unobserved	final_state_interval_coverage_all	final_state_interval_coverage_observed	final_state_interval_coverage_unobserved	final_state_interval_width_mean_all	final_state_interval_width_mean_observed	final_state_interval_width_mean_unobserved	final_state_interval_width_max_all	final_state_interval_width_max_observed	final_state_interval_width_max_unobserved
dense	0.01	1	12	3456	12	0.15	192	6	142.8648907	47.4974465	0.1398179359	0.65625	0.2568135823	0.5288944138	0.01141621799	0.001950414245	0.9814814815	0.00572352323	0.2676865332	0.02103738739	0.01431821638	0.02313502892	0.01475179998	0.003789488351	0.01839148838	0.994047619	0.9982876712	0.9915311653	0.01920722653	0.009740687868	0.02482557874	0.5047860024	0.4597994223	0.5047860024
dense	0.01	2	12	3456	12	0.15	192	6	148.8875374	43.482498	0.141055217	0.59375	0.2586323294	0.5535411086	0.00334378302	0.002336844211	0.9904513889	0.005642876452	0.2421626784	0.01945215305	0.005349344524	0.02411443479	0.01910345076	0.004894133797	0.02381842954	0.9795918367	0.997716895	0.9688346883	0.01872471922	0.009667411302	0.02410019466	0.5349669854	0.4346008075	0.5349669854
dense	0.01	3	12	3456	12	0.15	192	6	126.7380877	42.9011255	0.1442224711	0.609375	0.2508265803	0.5676692886	0.009914563742	0.003041219999	0.78125	0.006458128745	0.2654870257	0.02508536655	0.0130155284	0.02932026639	0.02126178127	0.006057540486	0.02643072984	0.5614370748	0.5656392694	0.5589430894	0.01986974407	0.0109795254	0.02514605272	0.5370638294	0.4764967199	0.5370638294
dense	0.08	1	12	3456	12	0.15	192	6	127.7452776	41.5958115	0.1472682555	0.875	0.4601322464	0.7578865843	0.01752270046	0.01456798308	0.6160300926	0.01743285406	0.3484462521	0.0326443187	0.02659722226	0.03559912949	0.02564906923	0.0200966373	0.02843629149	0.3960459184	0.3801369863	0.4054878049	0.04239449222	0.02912040973	0.05027260622	0.5703738519	0.5248374391	0.5703738519
dense	0.08	2	12	3456	12	0.15	192	6	126.0632372	40.6372579	0.1446702539	0.890625	0.4491091291	0.7987278963	0.01053740445	0.009431078799	0.974537037	0.01910201052	0.3351395829	0.02690131245	0.01747025697	0.03095385123	0.02428387635	0.0158369527	0.02812189515	0.9281462585	0.926369863	0.929200542	0.03897380758	0.03087315435	0.04378151235	0.5604651739	0.479003378	0.5604651739
dense	0.08	3	12	3456	12	0.15	192	6	125.0448739	43.0610189	0.1631240057	0.875	0.446272316	0.7907511122	0.01069423082	0.01210729127	0.9045138889	0.01801679389	0.3534880482	0.0337903064	0.01911516044	0.03994109952	0.03109453643	0.02021627403	0.03602975551	0.7217261905	0.7340182648	0.7144308943	0.03911372544	0.02943327161	0.04485903544	0.5897466549	0.5292402506	0.5897466549
dense	0.2	1	12	3456	12	0.15	192	6	157.6322414	55.9101697	0.258472091	0.625	0.3887250887	0.7437465449	0.06329301887	0.06500795509	0.2352430556	0.01413811252	0.2712903728	0.064668656	0.07750937663	0.05547714688	0.06542852766	0.08111682434	0.0540038629	0.1366921769	0.04680365297	0.1900406504	0.03142945837	0.02130148159	0.03744037141	0.560506702	0.4476186608	0.560506702
dense	0.2	2	12	3456	12	0.15	192	6	145.6807134	53.5285201	0.2651762312	0.5	0.358779721	0.7548836538	0.05654617652	0.05728812825	0.2896412037	0.01673358668	0.3981837423	0.06983581296	0.07127658697	0.06889504934	0.06972341719	0.07288856277	0.06777505552	0.1581632653	0.09132420091	0.1978319783	0.03202611956	0.02680673214	0.03512380478	0.5451109379	0.5451109379	0.4876636102
dense	0.2	3	12	3456	12	0.15	192	6	153.630411	54.383667	0.2385227696	0.703125	0.4297135368	0.7600966951	0.06624923934	0.06760255963	0.2248263889	0.01530460098	0.3251822956	0.07214392101	0.08251057203	0.0650211256	0.07172018031	0.08554042479	0.06207972345	0.1226615646	0.0450913242	0.168699187	0.0318512908	0.02281373339	0.03721504439	0.5402221155	0.4828106277	0.5402221155
dense	0.4	1	12	3456	12	0.15	192	6	152.6951628	55.6015776	0.2631621804	0.5	0.3303775944	0.7656869657	0.06209447458	0.06180646229	0.3061342593	0.01637113841	0.3157086786	0.06533165421	0.07740071949	0.05685278597	0.0632751781	0.0768317056	0.05363286352	0.1653911565	0.09246575342	0.2086720867	0.03218460496	0.02544443914	0.03618486597	0.5699209614	0.4951206813	0.5699209614
dense	0.4	2	12	3456	12	0.15	192	6	145.9222594	46.0007917	0.2511613153	0.578125	0.3742158573	0.7943636007	0.03814952026	0.04064157452	0.4615162037	0.01789548612	0.3390322547	0.05518927962	0.04949647628	0.05820596042	0.05583776567	0.05382701953	0.0569976026	0.2629676871	0.2157534247	0.2909891599	0.03383093232	0.02717648439	0.03778032012	0.5895046635	0.5220286812	0.5895046635
dense	0.4	3	12	3456	12	0.15	192	6	153.1413568	58.8576253	0.2506386293	0.625	0.4014574861	0.7754380554	0.05402354744	0.05541553184	0.2905092593	0.01655207646	0.3424734812	0.07541615116	0.06969205654	0.07846484291	0.07594286901	0.07295511774	0.07766175364	0.1496598639	0.1198630137	0.1673441734	0.03528741217	0.02550642766	0.04109238671	0.596767059	0.4972282471	0.596767059
sparse	0.01	1	12	864	3	0.15	192	6	134.068462	47.7197063	0.1437250413	0.953125	0.5926372988	0.7630560892	0.004232767256	0.001303575934	0.65625	0.001503115797	0.03863565598	0.04203858939	0.03764035444	0.04432330076	0.03887280877	0.03660804845	0.04015658162	0.5801445578	0.571347032	0.5853658537	0.06214822254	0.050788881	0.06888994557	0.697114445	0.697114445	0.6276888543
sparse	0.01	2	12	864	3	0.15	192	6	135.5052037	45.3612181	0.1483341729	0.9375	0.5974095545	0.8006876511	0.004270594728	0.0006363049043	0.6921296296	0.001293088346	0.03331557257	0.04716195053	0.04260202352	0.04959664698	0.04011756913	0.03930302951	0.04059326707	0.6048044218	0.5987442922	0.608401084	0.06220184226	0.05127705152	0.06868566115	0.7162426176	0.7162426176	0.6166737029
sparse	0.01	3	12	864	3	0.15	192	6	133.8844118	45.2986211	0.1471768583	0.9375	0.5984014895	0.7712428464	0.004576745903	0.0009668005724	0.6805555556	0.001424878449	0.03996929926	0.04374479404	0.04014952642	0.04563445708	0.03908738405	0.03737046133	0.04007159987	0.59375	0.5867579909	0.597899729	0.06239444468	0.05152284032	0.06884669768	0.704124808	0.704124808	0.6149801561
sparse	0.08	1	12	864	3	0.15	192	6	134.7569355	44.6844322	0.1558368952	0.9375	0.6142863943	0.8031713999	0.00256894934	0.007373950029	0.5555555556	0.003121568962	0.09332683149	0.04311557409	0.04363207805	0.04270845498	0.047693531	0.05378419824	0.04367897204	0.4929846939	0.4554794521	0.5152439024	0.06855040709	0.05983542533	0.07372271333	0.7072391705	0.7072391705	0.670801394
sparse	0.08	2	12	864	3	0.15	192	6	132.3220784	44.4694602	0.1546977274	0.9375	0.6124055407	0.8162930371	0.002147840227	0.005705993824	0.5891203704	0.003082916873	0.08827323851	0.04322137165	0.04146177285	0.04415664059	0.04593173373	0.05034643494	0.04309831828	0.5537840136	0.5262557078	0.5701219512	0.06884407982	0.06125649982	0.0733472777	0.7087267117	0.7087267117	0.6376631196
