density	noise_sigma	noise_seed	method	scenario_count	observation_count	observation_multiplier	floor_fraction	mean_clip_fraction	max_clip_fraction	turning_rmse	turning_mae	turning_max_abs_error	turning_rmse_j1	turning_rmse_j2	turning_rmse_j3	turning_rmse_j4	predictive_rmse	fit_rmse	normalized_fit_rmse	weighted_loss	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	requested_budget	solve_seconds	iterations	ensemble_size	esmda_maxiters	adam_time_limit_seconds	adam_best_loss	adam_final_loss	adam_best_iter	adam_final_raw_grad_norm	adam_loss_tail_relspan	adam_grad_tail_relspan	turning_interval_width_mean	turning_interval_width_max	turning_interval_coverage
dense	0.01	1	esmda	12	3456	12	0.15	0	0	0.1398179359	0.1057895362	0.3937400315	0.13390832	0.1013536774	0.1799256518	0.1327364855	0.001950414245	0.007820228236	1.026681956	1821.443048	0.0144941716	0.003423136445	0.0180510653	1152	142.8648907	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.2568135823	0.5288944138	0.65625
dense	0.01	1	map_lbfgs	12	3456	12	0.15	0	0	0.1119251963	0.08623410421	0.2817510567	0.1100607208	0.1351572109	0.1218281456	0.06990040972	0.0006594922501	0.007655347436	1.007994043	1755.73784	0.00963001099	0.001587033762	0.01202504142	300	302.016	137	0	0	NaN	1760.703717	1760.703717	137	NaN	0.0004658591107	NaN	NaN	NaN	NaN
dense	0.01	2	esmda	12	3456	12	0.15	0	0	0.141055217	0.1094220649	0.3623127428	0.1438489195	0.1249169097	0.1809897381	0.1026268272	0.002336844211	0.008039061503	1.054170057	1920.28235	0.01878001937	0.004419591158	0.02341018556	1152	148.8875374	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.2586323294	0.5535411086	0.59375
dense	0.01	2	map_lbfgs	12	3456	12	0.15	0	0	0.1166558073	0.08927354039	0.2891723836	0.1186406577	0.1378167482	0.1217501515	0.08088354848	0.0005625559756	0.007707028816	1.013227184	1774.015475	0.01011612228	0.001409912487	0.01265974003	300	300.2189999	140	0	0	NaN	1778.334165	1778.334165	140	NaN	0.0002370295443	NaN	NaN	NaN	NaN
dense	0.01	3	esmda	12	3456	12	0.15	0	0	0.1442224711	0.1099558614	0.3679721526	0.1441672971	0.1503071254	0.1719496033	0.1012787102	0.003041219999	0.00815492179	1.065942563	1963.411572	0.02101158676	0.005400488695	0.0261094811	1152	126.7380877	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.2508265803	0.5676692886	0.609375
dense	0.01	3	map_lbfgs	12	3456	12	0.15	0	0	0.1196997772	0.08913518097	0.3315817681	0.1193467838	0.1442454284	0.1216339617	0.08641138554	0.000811624032	0.00761520943	1.004665938	1744.163103	0.01473004499	0.001610284277	0.01851352676	300	301.8989999	147	0	0	NaN	1748.781089	1748.781089	147	NaN	0.0001621605728	NaN	NaN	NaN	NaN
dense	0.08	1	esmda	12	3456	12	0.15	0	0	0.1472682555	0.1199015713	0.3240996139	0.170074282	0.1072121731	0.1530972156	0.1513052788	0.01456798308	0.06240046571	1.268503308	2780.525909	0.02521623902	0.01976793395	0.02792124015	1152	127.7452776	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.4601322464	0.7578865843	0.875
dense	0.08	1	map_lbfgs	12	3456	12	0.15	0	0	0.1523275099	0.125216661	0.3466237156	0.1535033698	0.1491705647	0.1217997378	0.1793442584	0.01329853602	0.06223673702	1.264658658	2763.69671	0.01644507055	0.01580734173	0.01677856406	300	301.0650001	148	0	0	NaN	2767.511778	2767.511778	148	NaN	8.341194902e-09	NaN	NaN	NaN	NaN
dense	0.08	2	esmda	12	3456	12	0.15	0	0	0.1446702539	0.1106570529	0.3752463622	0.1661731621	0.123766836	0.143226431	0.1423810712	0.009431078799	0.06241156698	1.307584424	2954.494699	0.02401399243	0.01544936585	0.02778518891	1152	126.0632372	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.4491091291	0.7987278963	0.890625
dense	0.08	2	map_lbfgs	12	3456	12	0.15	0	0	0.1420518081	0.1135024982	0.3377908144	0.136700878	0.1450034169	0.1217327005	0.1618112894	0.00640903687	0.06193502866	1.300716347	2923.53929	0.01289989905	0.008861563711	0.01471584509	300	300.517	158	0	0	NaN	2925.819928	2925.819928	158	NaN	8.409240804e-09	NaN	NaN	NaN	NaN
