density	description	road_id	road_label	road_role	road_cells	sensor_cell	sensor_center_fraction
dense	9 roads, 4 sensors per road, original baseline	2	Road 2: J1 external in B	incoming	18	2	0.08333333333
dense	9 roads, 4 sensors per road, original baseline	2	Road 2: J1 external in B	incoming	18	8	0.4166666667
dense	9 roads, 4 sensors per road, original baseline	2	Road 2: J1 external in B	incoming	18	11	0.5833333333
dense	9 roads, 4 sensors per road, original baseline	2	Road 2: J1 external in B	incoming	18	17	0.9166666667
dense	9 roads, 4 sensors per road, original baseline	9	Road 9: J3 external in A	incoming	18	2	0.08333333333
dense	9 roads, 4 sensors per road, original baseline	9	Road 9: J3 external in A	incoming	18	8	0.4166666667
dense	9 roads, 4 sensors per road, original baseline	9	Road 9: J3 external in A	incoming	18	11	0.5833333333
dense	9 roads, 4 sensors per road, original baseline	9	Road 9: J3 external in A	incoming	18	17	0.9166666667
dense	9 roads, 4 sensors per road, original baseline	14	Road 14: J4 external in B	incoming	18	2	0.08333333333
dense	9 roads, 4 sensors per road, original baseline	14	Road 14: J4 external in B	incoming	18	8	0.4166666667
dense	9 roads, 4 sensors per road, original baseline	14	Road 14: J4 external in B	incoming	18	11	0.5833333333
dense	9 roads, 4 sensors per road, original baseline	14	Road 14: J4 external in B	incoming	18	17	0.9166666667
dense	9 roads, 4 sensors per road, original baseline	4	Road 4: J1 external out B	outgoing	18	2	0.08333333333
dense	9 roads, 4 sensors per road, original baseline	4	Road 4: J1 external out B	outgoing	18	8	0.4166666667
dense	9 roads, 4 sensors per road, original baseline	4	Road 4: J1 external out B	outgoing	18	11	0.5833333333
dense	9 roads, 4 sensors per road, original baseline	4	Road 4: J1 external out B	outgoing	18	17	0.9166666667
dense	9 roads, 4 sensors per road, original baseline	7	Road 7: J2 external out A	outgoing	18	2	0.08333333333
dense	9 roads, 4 sensors per road, original baseline	7	Road 7: J2 external out A	outgoing	18	8	0.4166666667
dense	9 roads, 4 sensors per road, original baseline	7	Road 7: J2 external out A	outgoing	18	11	0.5833333333
dense	9 roads, 4 sensors per road, original baseline	7	Road 7: J2 external out A	outgoing	18	17	0.9166666667
dense	9 roads, 4 sensors per road, original baseline	15	Road 15: J4 external out A	outgoing	18	2	0.08333333333
dense	9 roads, 4 sensors per road, original baseline	15	Road 15: J4 external out A	outgoing	18	8	0.4166666667
dense	9 roads, 4 sensors per road, original baseline	15	Road 15: J4 external out A	outgoing	18	11	0.5833333333
dense	9 roads, 4 sensors per road, original baseline	15	Road 15: J4 external out A	outgoing	18	17	0.9166666667
dense	9 roads, 4 sensors per road, original baseline	17	Road 17: J1 -> J2	internal	12	2	0.125
dense	9 roads, 4 sensors per road, original baseline	17	Road 17: J1 -> J2	internal	12	5	0.375
dense	9 roads, 4 sensors per road, original baseline	17	Road 17: J1 -> J2	internal	12	8	0.625
dense	9 roads, 4 sensors per road, original baseline	17	Road 17: J1 -> J2	internal	12	11	0.875
dense	9 roads, 4 sensors per road, original baseline	21	Road 21: J2 -> J4	internal	14	2	0.1071428571
dense	9 roads, 4 sensors per road, original baseline	21	Road 21: J2 -> J4	internal	14	6	0.3928571429
dense	9 roads, 4 sensors per road, original baseline	21	Road 21: J2 -> J4	internal	14	9	0.6071428571
dense	9 roads, 4 sensors per road, original baseline	21	Road 21: J2 -> J4	internal	14	13	0.8928571429
dense	9 roads, 4 sensors per road, original baseline	24	Road 24: J4 -> J3	internal	12	2	0.125
dense	9 roads, 4 sensors per road, original baseline	24	Road 24: J4 -> J3	internal	12	5	0.375
dense	9 roads, 4 sensors per road, original baseline	24	Road 24: J4 -> J3	internal	12	8	0.625
dense	9 roads, 4 sensors per road, original baseline	24	Road 24: J4 -> J3	internal	12	11	0.875
sparse	9 roads, 1 midpoint sensor per road	2	Road 2: J1 external in B	incoming	18	10	0.5277777778
sparse	9 roads, 1 midpoint sensor per road	9	Road 9: J3 external in A	incoming	18	10	0.5277777778
sparse	9 roads, 1 midpoint sensor per road	14	Road 14: J4 external in B	incoming	18	10	0.5277777778
sparse	9 roads, 1 midpoint sensor per road	4	Road 4: J1 external out B	outgoing	18	10	0.5277777778
sparse	9 roads, 1 midpoint sensor per road	7	Road 7: J2 external out A	outgoing	18	10	0.5277777778
sparse	9 roads, 1 midpoint sensor per road	15	Road 15: J4 external out A	outgoing	18	10	0.5277777778
sparse	9 roads, 1 midpoint sensor per road	17	Road 17: J1 -> J2	internal	12	6	0.4583333333
sparse	9 roads, 1 midpoint sensor per road	21	Road 21: J2 -> J4	internal	14	8	0.5357142857
sparse	9 roads, 1 midpoint sensor per road	24	Road 24: J4 -> J3	internal	12	6	0.4583333333
minimal	2 internal connector roads, 1 midpoint sensor per road	17	Road 17: J1 -> J2	internal	12	6	0.4583333333
minimal	2 internal connector roads, 1 midpoint sensor per road	24	Road 24: J4 -> J3	internal	12	6	0.4583333333
