density	noise_sigma	method	seed_count	turning_rmse_mean	turning_rmse_min	turning_rmse_max	predictive_rmse_mean	predictive_rmse_min	predictive_rmse_max	final_state_rmse_unobserved_mean	final_state_rmse_unobserved_min	final_state_rmse_unobserved_max	solve_seconds_mean
dense	0.01	esmda	3	0.1416985413	0.1398179359	0.1442224711	0.002442826152	0.001950414245	0.003041219999	0.02252357732	0.0180510653	0.0261094811	139.4968386
dense	0.01	map_lbfgs	3	0.1160935936	0.1119251963	0.1196997772	0.0006778907526	0.0005625559756	0.000811624032	0.01439943607	0.01202504142	0.01851352676	301.3779999
dense	0.08	esmda	3	0.151687505	0.1446702539	0.1631240057	0.01203545105	0.009431078799	0.01456798308	0.0304351451	0.02778518891	0.03559900624	126.2844629
dense	0.08	map_lbfgs	3	0.148750457	0.1420518081	0.1523275099	0.009658719039	0.00640903687	0.01329853602	0.01625858815	0.01471584509	0.01728135532	300.9753334
dense	0.2	esmda	3	0.2540570306	0.2385227696	0.2651762312	0.06329954766	0.05728812825	0.06760255963	0.0607870489	0.05345995996	0.06722474475	152.3144553
dense	0.2	map_lbfgs	3	0.211344322	0.1708820371	0.2405488866	0.05689453627	0.05400283894	0.06153158032	0.05202794866	0.04918051557	0.05489886009	301.5983334
dense	0.4	esmda	3	0.254987375	0.2506386293	0.2631621804	0.05262118955	0.04064157452	0.06180646229	0.06223123909	0.05316233743	0.07719657279	150.5862597
dense	0.4	map_lbfgs	3	0.2024278642	0.180889344	0.2248765262	0.04444128646	0.03203234054	0.06032671652	0.05306743951	0.04630176087	0.06506387813	300.952
sparse	0.01	esmda	3	0.1464120242	0.1437250413	0.1483341729	0.0009688938035	0.0006363049043	0.001303575934	0.03936181604	0.03913124148	0.03971730518	134.4860258
sparse	0.01	map_lbfgs	3	0.1523349991	0.1505450043	0.1552962681	0.0002400042985	0.0001903038321	0.0003195937779	0.03409639275	0.03249214396	0.03535995086	257.3186666
sparse	0.08	esmda	3	0.1543064131	0.1523846168	0.1558368952	0.00563104449	0.003813189617	0.007373950029	0.04233333605	0.04212967275	0.04267910483	133.0850182
sparse	0.08	map_lbfgs	3	0.1482778032	0.1470583749	0.1494193108	0.004155365241	0.001381368544	0.006546224254	0.02808635917	0.02714245434	0.02876821853	34.13466676
sparse	0.2	esmda	3	0.1881087535	0.162708494	0.216629937	0.02316953225	0.01734030707	0.03476862862	0.05948111815	0.04865044498	0.07702947904	148.5629478
sparse	0.2	map_lbfgs	3	0.1852255209	0.1609086156	0.2279580671	0.02420680105	0.01833698047	0.03512036248	0.05368086608	0.0421155181	0.07043271627	133.426
sparse	0.4	esmda	3	0.1925438524	0.1835705864	0.1984888029	0.03050363139	0.02648839703	0.03289692281	0.06729893606	0.05985204207	0.07260690284	156.5232425
sparse	0.4	map_lbfgs	3	0.2000538503	0.1920891422	0.2088889234	0.03185186637	0.02856280394	0.03385467476	0.06803976248	0.0646863886	0.0726782061	50.33099993
minimal	0.01	esmda	3	0.1493416357	0.1483583309	0.1511747641	0.001314743953	0.0006467077509	0.001922494397	0.03837787055	0.03749570222	0.03937649154	137.6392588
minimal	0.01	map_lbfgs	3	0.1477964657	0.145865456	0.1497046421	0.0006076455663	0.0003324027827	0.0009729102656	0.02864896626	0.02338513595	0.03192372163	300.7333333
minimal	0.08	esmda	3	0.1513903604	0.150360747	0.1522582871	0.01733667369	0.0124369872	0.02058554613	0.04277314872	0.04187522463	0.043426592	136.5466186
minimal	0.08	map_lbfgs	3	0.1491679325	0.1475413021	0.1504560761	0.01505571338	0.008356254165	0.01916059736	0.03070189164	0.02501936762	0.03609854104	36.68233347
minimal	0.2	esmda	3	0.1825795206	0.1742063247	0.1929865896	0.06068076258	0.05527419391	0.06872718848	0.06700973673	0.06166892037	0.07270519465	154.3478833
minimal	0.2	map_lbfgs	3	0.1940300692	0.1889772829	0.2021887547	0.06075314277	0.05613245898	0.06887894977	0.06754881614	0.0661405763	0.07019897917	48.13199989
minimal	0.4	esmda	3	0.1937867756	0.1813819859	0.2052443132	0.06758044474	0.0631505795	0.07236050224	0.07093841513	0.06613196461	0.07753829508	155.5068985
minimal	0.4	map_lbfgs	3	0.1986617655	0.1833723754	0.217106779	0.06754379749	0.06422458862	0.07143911244	0.06815487083	0.06169602585	0.07487244773	47.22500006
