density	noise_sigma	noise_seed	method	junction	incoming_row	outgoing_col	global_entry	truth	estimate	abs_error
dense	0.01	1	esmda	1	1	1	1	0.1	0.2057317788	0.1057317788
dense	0.01	1	esmda	1	1	2	2	0.12	0.1563211141	0.03632111407
dense	0.01	1	esmda	1	1	3	3	0.5	0.3676268258	0.1323731742
dense	0.01	1	esmda	1	1	4	4	0.28	0.2703202813	0.009679718694
dense	0.01	1	esmda	1	2	1	5	0.08	0.2701117441	0.1901117441
dense	0.01	1	esmda	1	2	2	6	0.18	0.1210286057	0.05897139434
dense	0.01	1	esmda	1	2	3	7	0.22	0.3859587594	0.1659587594
dense	0.01	1	esmda	1	2	4	8	0.52	0.2229008909	0.2970991091
dense	0.01	1	esmda	1	3	1	9	0.42	0.2439785272	0.1760214728
dense	0.01	1	esmda	1	3	2	10	0.24	0.2403011422	0.0003011421619
dense	0.01	1	esmda	1	3	3	11	0.08	0.1131315789	0.03313157889
dense	0.01	1	esmda	1	3	4	12	0.26	0.4025887517	0.1425887517
dense	0.01	1	esmda	1	4	1	13	0.2	0.06734657101	0.132653429
dense	0.01	1	esmda	1	4	2	14	0.46	0.475165928	0.01516592795
dense	0.01	1	esmda	1	4	3	15	0.24	0.1887064027	0.05129359732
dense	0.01	1	esmda	1	4	4	16	0.1	0.2687810984	0.1687810984
dense	0.01	1	esmda	2	1	1	17	0.18	0.1498373336	0.03016266637
dense	0.01	1	esmda	2	1	2	18	0.08	0.1279162189	0.04791621891
dense	0.01	1	esmda	2	1	3	19	0.16	0.3095425216	0.1495425216
dense	0.01	1	esmda	2	1	4	20	0.58	0.4127039258	0.1672960742
dense	0.01	1	esmda	2	2	1	21	0.14	0.1288307909	0.0111692091
dense	0.01	1	esmda	2	2	2	22	0.1	0.2356000476	0.1356000476
dense	0.01	1	esmda	2	2	3	23	0.56	0.3378546771	0.2221453229
dense	0.01	1	esmda	2	2	4	24	0.2	0.2977144844	0.09771448441
dense	0.01	1	esmda	2	3	1	25	0.48	0.4781585734	0.001841426563
dense	0.01	1	esmda	2	3	2	26	0.2	0.1357709471	0.06422905287
dense	0.01	1	esmda	2	3	3	27	0.08	0.1377617338	0.05776173384
dense	0.01	1	esmda	2	3	4	28	0.24	0.2483087456	0.008308745594
dense	0.01	1	esmda	2	4	1	29	0.18	0.2140421887	0.03404218873
dense	0.01	1	esmda	2	4	2	30	0.42	0.2824598346	0.1375401654
dense	0.01	1	esmda	2	4	3	31	0.3	0.3664000344	0.06640003442
