noise_seed	esmda_seed	global_entry	entry_label	junction	incoming_row	outgoing_col	source_road	target_road	class	direct_observation_class	truth	posterior_mean	abs_error
1	1	1	J1 P11	1	1	1	1	3	neither	neither directly observed	0.1	0.2586110061	0.1586110061
1	1	2	J1 P12	1	1	2	1	4	target	target observed	0.12	0.2554282534	0.1354282534
1	1	3	J1 P13	1	1	3	1	17	target	target observed	0.5	0.2358631565	0.2641368435
1	1	4	J1 P14	1	1	4	1	19	neither	neither directly observed	0.28	0.250097584	0.02990241602
1	1	5	J1 P21	1	2	1	2	3	source	source observed	0.08	0.3191536	0.2391536
1	1	6	J1 P22	1	2	2	2	4	both	source+target observed	0.18	0.2100783995	0.03007839953
1	1	7	J1 P23	1	2	3	2	17	both	source+target observed	0.22	0.2359568181	0.01595681808
1	1	8	J1 P24	1	2	4	2	19	source	source observed	0.52	0.2348111824	0.2851888176
1	1	9	J1 P31	1	3	1	18	3	neither	neither directly observed	0.42	0.2541662509	0.1658337491
1	1	10	J1 P32	1	3	2	18	4	target	target observed	0.24	0.2237239062	0.01627609381
1	1	11	J1 P33	1	3	3	18	17	target	target observed	0.08	0.2420288697	0.1620288697
1	1	12	J1 P34	1	3	4	18	19	neither	neither directly observed	0.26	0.2800809732	0.02008097318
1	1	13	J1 P41	1	4	1	20	3	neither	neither directly observed	0.2	0.3345576557	0.1345576557
1	1	14	J1 P42	1	4	2	20	4	target	target observed	0.46	0.2486207123	0.2113792877
1	1	15	J1 P43	1	4	3	20	17	target	target observed	0.24	0.06770134147	0.1722986585
1	1	16	J1 P44	1	4	4	20	19	neither	neither directly observed	0.1	0.3491202905	0.2491202905
1	1	17	J2 P11	2	1	1	5	7	target	target observed	0.18	0.1622496389	0.01775036105
1	1	18	J2 P12	2	1	2	5	8	neither	neither directly observed	0.08	0.1687428068	0.08874280683
1	1	19	J2 P13	2	1	3	5	18	neither	neither directly observed	0.16	0.2850306693	0.1250306693
1	1	20	J2 P14	2	1	4	5	21	target	target observed	0.58	0.3839768849	0.1960231151
1	1	21	J2 P21	2	2	1	6	7	target	target observed	0.14	0.1519823651	0.01198236507
1	1	22	J2 P22	2	2	2	6	8	neither	neither directly observed	0.1	0.2734583876	0.1734583876
