noise_seed	esmda_seed	class	entry_count	mean_abs_error	median_abs_error	max_abs_error	fit_seconds
1	1	both	8	0.07866759387	0.07901589137	0.138133586	135.5142647
1	1	target	16	0.1025703037	0.05954694635	0.2641368435	135.5142647
1	1	source	16	0.1293970591	0.09448214303	0.2851888176	135.5142647
1	1	neither	24	0.1388700836	0.1435344915	0.3240996139	135.5142647
2	1	both	8	0.05382346752	0.03420116982	0.1827823588	134.2265278
2	1	target	16	0.09721535185	0.08142164021	0.2247087603	134.2265278
2	1	source	16	0.1045305373	0.07514799733	0.2993845677	134.2265278
2	1	neither	24	0.1426470591	0.1195948052	0.3752463622	134.2265278
3	1	both	8	0.09111515672	0.084456689	0.1807678848	133.5228665
3	1	target	16	0.1108046247	0.08748002512	0.3586518717	133.5228665
3	1	source	16	0.123403483	0.1078488432	0.3492746835	133.5228665
3	1	neither	24	0.1651267865	0.1766997571	0.3820721495	133.5228665
4	1	both	8	0.06129576567	0.05199009121	0.1409984823	137.0131998
4	1	target	16	0.1239708764	0.08636461665	0.338626667	137.0131998
4	1	source	16	0.136446243	0.125645635	0.3152011557	137.0131998
4	1	neither	24	0.144360024	0.1216421525	0.3352805886	137.0131998
5	1	both	8	0.08496235452	0.07555780942	0.1865843735	134.5520687
5	1	target	16	0.1047560664	0.08118694653	0.2735989951	134.5520687
5	1	source	16	0.1275191378	0.1056374692	0.3551440145	134.5520687
5	1	neither	24	0.147652266	0.1307000631	0.3352364679	134.5520687
6	1	both	8	0.1512013768	0.1244488654	0.3358724073	137.2449631
6	1	target	16	0.1171702439	0.1091968202	0.2816802778	137.2449631
6	1	source	16	0.1310321065	0.1404796157	0.3430991892	137.2449631
6	1	neither	24	0.1366773095	0.128856128	0.4200977659	137.2449631
7	1	both	8	0.125029619	0.09990924897	0.3187970121	133.6863618
7	1	target	16	0.1094347643	0.1020514968	0.2845282977	133.6863618
7	1	source	16	0.1307337459	0.1083240154	0.3481837509	133.6863618
7	1	neither	24	0.1376172528	0.1188881933	0.3666195413	133.6863618
8	1	both	8	0.09814086711	0.06466047131	0.2264076625	136.026931
8	1	target	16	0.1379985685	0.1136272674	0.3079794359	136.026931
8	1	source	16	0.1366835336	0.1294977483	0.3634180943	136.026931
8	1	neither	24	0.1531213714	0.1247734164	0.4285097969	136.026931
9	1	both	8	0.1072786407	0.09724600991	0.2118523064	134.0847479
9	1	target	16	0.09972328223	0.09301050143	0.2236397644	134.0847479
9	1	source	16	0.1420878421	0.1278399141	0.3468764517	134.0847479
9	1	neither	24	0.135505415	0.1169883439	0.4012800698	134.0847479
10	1	both	8	0.09105851778	0.06529141857	0.2383733792	134.223115
10	1	target	16	0.1040384568	0.09936671182	0.2543037063	134.223115
10	1	source	16	0.115456344	0.1259162796	0.2486363191	134.223115
10	1	neither	24	0.1550173068	0.1466693093	0.3457138984	134.223115
11	1	both	8	0.07361764383	0.05339026625	0.2387575482	136.7288587
11	1	target	16	0.08854749803	0.05649019626	0.252720949	136.7288587
11	1	source	16	0.1157239521	0.08855986647	0.3011825616	136.7288587
11	1	neither	24	0.1379961479	0.09828642039	0.3872921531	136.7288587
12	1	both	8	0.12720438	0.1223382758	0.2118459039	139.5075811
12	1	target	16	0.09158496949	0.07895526328	0.2540044123	139.5075811
12	1	source	16	0.139669231	0.1206328914	0.4039755331	139.5075811
12	1	neither	24	0.1383666602	0.1059985976	0.4130419796	139.5075811
13	1	both	8	0.09785068445	0.09591683647	0.2474916949	171.3599608
13	1	target	16	0.09659675975	0.08197842344	0.2848499873	171.3599608
13	1	source	16	0.1077850394	0.1120876312	0.273283276	171.3599608
13	1	neither	24	0.1314955594	0.117842117	0.4138394659	171.3599608
14	1	both	8	0.1186184647	0.06040077188	0.3122375174	164.7015682
14	1	target	16	0.1241339878	0.1202235351	0.3200262403	164.7015682
14	1	source	16	0.1142364021	0.07479196726	0.3572887561	164.7015682
14	1	neither	24	0.1602326675	0.1221075098	0.4253230334	164.7015682
15	1	both	8	0.08164266929	0.06044950171	0.213075326	166.3509779
15	1	target	16	0.08662411634	0.05757762577	0.2678322291	166.3509779
15	1	source	16	0.1160386719	0.101057439	0.3113092351	166.3509779
15	1	neither	24	0.1414653057	0.1161988432	0.3820255818	166.3509779
16	1	both	8	0.1025644435	0.06063067847	0.2400252999	164.6081819
16	1	target	16	0.0899495808	0.07790379945	0.2683703219	164.6081819
16	1	source	16	0.1331943072	0.1104432109	0.3336421887	164.6081819
16	1	neither	24	0.1330034683	0.1046687587	0.326018855	164.6081819
17	1	both	8	0.1149668327	0.07753043399	0.2457762141	169.5476485
17	1	target	16	0.09686195484	0.07316725415	0.275046021	169.5476485
17	1	source	16	0.1189581006	0.09328835616	0.2741443908	169.5476485
17	1	neither	24	0.1412183398	0.1258967237	0.3488311827	169.5476485
18	1	both	8	0.1341199339	0.115274683	0.2630145282	165.637786
18	1	target	16	0.09856965649	0.06699176661	0.2910304651	165.637786
18	1	source	16	0.1314708297	0.1056206025	0.3480234603	165.637786
18	1	neither	24	0.1489294031	0.1247024198	0.4075974613	165.637786
19	1	both	8	0.0665533969	0.07017728726	0.1184814878	165.0016433
19	1	target	16	0.07732981668	0.06303887626	0.2503066897	165.0016433
19	1	source	16	0.1129670998	0.08194368085	0.3496183237	165.0016433
19	1	neither	24	0.1376428837	0.1055562538	0.4008857051	165.0016433
20	1	both	8	0.0674312545	0.03604789496	0.2261038995	176.7483499
20	1	target	16	0.1175802147	0.07650604272	0.348989508	176.7483499
20	1	source	16	0.1258061233	0.1088978878	0.3502013557	176.7483499
20	1	neither	24	0.1764649568	0.1386665803	0.3735615423	176.7483499
21	1	both	8	0.09920789519	0.103863094	0.1646171821	172.8083888
21	1	target	16	0.08504249426	0.05469482419	0.2080958111	172.8083888
21	1	source	16	0.1084707946	0.1000696912	0.2469234943	172.8083888
21	1	neither	24	0.1336268049	0.1005803576	0.343973636	172.8083888
22	1	both	8	0.09949687091	0.08154059349	0.3444558157	161.437131
22	1	target	16	0.1159049455	0.08380156301	0.3500975615	161.437131
22	1	source	16	0.1291295042	0.1125854944	0.3026115331	161.437131
22	1	neither	24	0.1213960284	0.08396048862	0.3916575753	161.437131
23	1	both	8	0.06904185867	0.07566409708	0.1376593882	173.7688506
23	1	target	16	0.09819266111	0.07269886983	0.232160737	173.7688506
23	1	source	16	0.1255988291	0.1188306752	0.3148188526	173.7688506
23	1	neither	24	0.1455009647	0.1271805062	0.3691399406	173.7688506
24	1	both	8	0.07794366569	0.08254360397	0.236213365	165.8301077
24	1	target	16	0.1044134319	0.07774401717	0.2768144394	165.8301077
24	1	source	16	0.1161619514	0.09676267103	0.2657858949	165.8301077
24	1	neither	24	0.1507403781	0.1385991497	0.3497349596	165.8301077
25	1	both	8	0.07899375815	0.06471012326	0.1602216076	160.918355
25	1	target	16	0.1182109864	0.0857364752	0.3763210519	160.918355
25	1	source	16	0.1371234131	0.06399165484	0.4111893244	160.918355
25	1	neither	24	0.1485170328	0.1140842074	0.381598384	160.918355
26	1	both	8	0.1336176589	0.1150731847	0.283252863	160.5493365
26	1	target	16	0.08824638698	0.0698068579	0.248241534	160.5493365
26	1	source	16	0.132885311	0.1123724635	0.3106469113	160.5493365
26	1	neither	24	0.1886602697	0.1320887133	0.4896133209	160.5493365
27	1	both	8	0.1317666837	0.1084283138	0.3277501966	166.3373083
27	1	target	16	0.1183240288	0.09529608077	0.3009375439	166.3373083
27	1	source	16	0.1515739842	0.1350117136	0.3604688301	166.3373083
27	1	neither	24	0.1159146536	0.09473478837	0.3846922513	166.3373083
28	1	both	8	0.1566850265	0.1097073814	0.3100090711	169.639829
28	1	target	16	0.08996710789	0.08469468272	0.2632282544	169.639829
28	1	source	16	0.142132267	0.1285127168	0.3585251947	169.639829
28	1	neither	24	0.1170954837	0.08336118777	0.3448315514	169.639829
29	1	both	8	0.149296116	0.1082252588	0.2906920337	158.7642109
29	1	target	16	0.08340956333	0.0637809133	0.2284032147	158.7642109
29	1	source	16	0.1345144047	0.09692710825	0.3971638863	158.7642109
29	1	neither	24	0.1341248266	0.1465153252	0.380931529	158.7642109
30	1	both	8	0.1239119862	0.1050591007	0.2209699675	167.8261081
30	1	target	16	0.09814131023	0.0788029003	0.285688942	167.8261081
30	1	source	16	0.1334957259	0.1250683185	0.3177072279	167.8261081
30	1	neither	24	0.1248301459	0.102977092	0.3411584971	167.8261081
