noise_seed	class	entry_count	turning_rmse
1	both	8	0.08941147008
1	target	16	0.1319498681
1	source	16	0.1522438132
1	neither	24	0.1676615727
2	both	8	0.07651192684
2	target	16	0.1245439902
2	source	16	0.1336947694
2	neither	24	0.1777740047
3	both	8	0.1067124912
3	target	16	0.142056531
3	source	16	0.1544476874
3	neither	24	0.1944390922
4	both	8	0.07744107171
4	target	16	0.1613899092
4	source	16	0.1672032674
4	neither	24	0.1701226425
5	both	8	0.1008901517
5	target	16	0.1315749986
5	source	16	0.1595850491
5	neither	24	0.1723727709
6	both	8	0.1811892155
6	target	16	0.1414581062
6	source	16	0.1607526017
6	neither	24	0.1693993858
7	both	8	0.1602387472
7	target	16	0.1330465618
7	source	16	0.1634090806
7	neither	24	0.1620962207
8	both	8	0.1155627053
8	target	16	0.1624445064
8	source	16	0.1657896747
8	neither	24	0.190966653
9	both	8	0.126914655
9	target	16	0.1177122763
9	source	16	0.1722005333
9	neither	24	0.1636844748
10	both	8	0.1139617248
10	target	16	0.125988261
10	source	16	0.1358117845
10	neither	24	0.1778335987
11	both	8	0.1014485823
11	target	16	0.1127634814
11	source	16	0.1447898149
11	neither	24	0.1710044097
12	both	8	0.1403763211
12	target	16	0.1101888017
12	source	16	0.1694144331
12	neither	24	0.1680826989
13	both	8	0.1207692983
13	target	16	0.1190265908
13	source	16	0.1317386875
13	neither	24	0.1630982806
14	both	8	0.1611146701
14	target	16	0.1566449782
14	source	16	0.1521417026
14	neither	24	0.1987179186
15	both	8	0.1020328735
15	target	16	0.1157029627
15	source	16	0.1441669687
15	neither	24	0.1764396532
16	both	8	0.1333423
16	target	16	0.1143702114
16	source	16	0.1573961374
16	neither	24	0.1615021676
17	both	8	0.1394929618
17	target	16	0.1334248579
17	source	16	0.1466432806
17	neither	24	0.1726998632
18	both	8	0.1544296655
18	target	16	0.1323102657
18	source	16	0.1534760675
18	neither	24	0.1848776296
19	both	8	0.07467568157
19	target	16	0.1000666413
19	source	16	0.1474000105
19	neither	24	0.1730813281
20	both	8	0.09866990951
20	target	16	0.1554209197
20	source	16	0.1580359713
20	neither	24	0.2053613396
21	both	8	0.1126861449
21	target	16	0.1101183119
21	source	16	0.1286262771
21	neither	24	0.1665586019
22	both	8	0.1446169735
22	target	16	0.1574640806
22	source	16	0.1636470837
22	neither	24	0.1649884491
23	both	8	0.08296846102
23	target	16	0.1192986563
23	source	16	0.1556732799
23	neither	24	0.1834851822
24	both	8	0.1048868684
24	target	16	0.1307432831
24	source	16	0.140120295
24	neither	24	0.1787606016
25	both	8	0.09560513745
25	target	16	0.1511391118
25	source	16	0.1903337595
25	neither	24	0.1858313288
26	both	8	0.1554878021
26	target	16	0.1206743436
26	source	16	0.1659340151
26	neither	24	0.2325151952
27	both	8	0.1623063247
27	target	16	0.1429864653
27	source	16	0.1782110144
27	neither	24	0.1552022562
28	both	8	0.1787113709
28	target	16	0.1204555008
28	source	16	0.1688070959
28	neither	24	0.1478355131
29	both	8	0.1756631332
29	target	16	0.104669746
29	source	16	0.166100608
29	neither	24	0.1658716361
30	both	8	0.1462532722
30	target	16	0.126536455
30	source	16	0.1594499585
30	neither	24	0.15162054
